N1,N2,N3,N4,N5,N6,N7
20,4,8,2,3,7,5
15,1,4,1,3,5,5
14,1,2,1,0,4,1
12,2,4,2,1,4,2
8,0,0,3,5,3,1
7,2,5,3,2,5,7
23,4,5,5,3,9,2
76,6,9,14,2,8,1
179,18,9,32,5,17,8
219,22,25,51,8,26,13
196,18,27,75,9,40,25
169,11,22,48,10,32,11
142,13,22,26,4,35,23
163,19,27,53,10,36,16
163,12,29,49,6,44,22
176,9,28,49,14,63,24
148,9,37,56,14,67,25
169,8,23,55,10,39,20
115,7,22,33,9,36,14
82,5,14,25,6,31,13
64,4,14,17,7,22,7
51,2,9,24,4,29,10
46,3,5,10,4,15,1
21,1,7,7,7,12,2
14,1,2,8,1,7,10
15,0,4,4,5,9,5
9,0,4,2,3,4,1
9,1,2,1,2,5,1
6,0,2,2,0,6,0
20,6,4,6,2,1,4
30,4,6,2,4,5,2
91,12,7,15,4,6,7
179,10,26,27,5,13,8
228,26,21,49,8,39,16
189,16,17,64,9,32,30
196,14,26,53,7,28,16
123,10,18,50,17,35,23
163,10,23,42,14,29,13
179,13,28,56,12,46,23
185,11,29,66,6,45,18
167,11,31,61,7,53,26
162,9,29,49,12,48,14
116,9,26,39,5,27,20
95,9,19,32,4,24,9
54,1,12,10,2,21,11
62,0,8,21,5,24,5
45,5,10,11,2,28,4
20,3,6,10,4,16,2
13,2,2,7,3,11,8
15,0,4,8,2,4,3
14,0,2,3,1,3,4
17,0,3,3,1,5,8
3,4,1,4,2,4,2
15,2,2,3,5,4,1
34,5,6,4,3,2,2
93,17,12,10,7,11,5
158,12,16,20,6,25,9
218,12,26,49,5,11,17
215,20,27,58,13,45,15
158,12,32,45,18,33,23
136,16,24,36,11,31,16
177,13,26,41,7,40,14
175,10,27,36,9,48,34
184,10,25,49,8,40,21
142,15,39,43,18,46,29
129,11,28,43,13,41,23
152,6,23,38,13,43,13
79,3,12,38,6,32,9
79,2,7,15,6,22,9
64,5,7,17,8,27,14
50,2,8,18,4,12,6
20,0,4,8,1,8,8
13,1,1,5,3,10,3
24,1,4,6,1,8,3
17,1,1,0,0,4,1
14,2,3,1,0,5,2
8,2,2,6,3,7,2
6,2,2,2,3,6,1
28,3,2,15,0,3,1
87,10,14,8,4,10,1
120,12,15,33,3,21,10
168,17,18,46,4,22,8
153,17,32,61,14,32,26
103,17,26,55,10,39,15
139,8,15,42,6,29,13
129,20,33,50,11,48,18
190,22,33,75,10,44,21
196,15,32,68,16,61,27
214,18,35,63,14,72,31
174,9,36,51,13,62,33
163,8,34,54,7,49,18
136,8,25,39,9,36,15
108,9,17,36,11,43,20
98,7,14,18,4,33,14
53,5,11,26,1,26,9
42,0,5,10,0,13,3
24,0,4,10,2,7,6
30,1,5,3,3,5,1
18,0,2,0,1,9,2
15,2,6,2,1,4,1
9,0,2,4,0,6,2
6,2,3,5,4,6,5
27,4,3,5,0,3,4
80,8,7,11,12,6,5
172,9,24,28,5,17,6
270,21,35,58,6,34,18
369,23,48,87,18,41,31
398,28,43,94,10,62,24
281,13,24,46,11,35,23
313,10,28,45,7,30,20
325,14,26,61,11,40,22
273,15,39,60,18,60,26
224,20,52,68,27,64,27
207,8,40,50,16,76,19
173,5,25,46,4,42,11
105,5,17,30,8,35,13
77,7,19,22,7,23,7
87,4,10,19,4,21,9
54,8,17,17,3,23,10
33,4,10,6,0,10,2
14,1,3,12,2,5,7
16,1,3,3,2,8,3
21,0,2,5,3,5,0
21,0,6,2,3,4,1
10,4,1,4,2,4,7
11,1,2,3,2,4,2
22,4,8,8,1,6,1
78,6,5,24,2,7,4
155,10,17,19,2,14,4
265,24,37,48,19,20,13
240,28,36,68,12,32,19
216,21,28,53,12,41,15
230,9,18,40,5,35,15
231,15,22,41,11,21,26
239,17,22,41,14,43,20
213,13,30,63,11,75,31
213,13,39,73,18,78,36
159,6,23,52,13,76,31
125,6,17,39,9,58,21
98,5,19,24,15,66,9
90,4,17,13,10,36,21
72,4,15,15,7,29,9
65,2,19,21,10,25,6
30,2,5,7,4,8,8
23,1,5,3,3,9,3
13,0,1,3,1,5,0
13,0,1,7,0,6,1
13,0,3,2,6,4,2
12,0,0,1,0,3,4
7,1,3,6,2,3,2
34,1,6,5,7,5,4
128,15,10,31,12,15,11
168,18,13,37,4,32,17
202,24,27,58,4,24,17
221,14,28,56,20,47,20
161,14,22,47,9,46,21
125,12,28,56,10,39,15
179,13,29,63,5,41,23
181,15,28,58,17,56,27
196,15,24,45,12,40,26
164,12,37,59,13,35,25
164,9,38,59,11,47,27
112,4,13,30,11,35,21
87,2,20,22,5,18,15
52,2,9,12,6,20,7
60,0,15,16,6,18,8
38,3,7,17,3,20,5
26,4,5,14,1,7,6
26,4,2,11,2,14,7
19,4,1,4,2,3,3
17,0,2,4,2,4,2
18,1,1,1,1,4,3
17,0,2,1,2,3,4
14,1,2,6,2,3,1
23,7,8,1,1,3,2
83,16,8,15,7,12,3
150,14,17,27,5,17,13
237,20,27,48,9,25,18
213,22,19,74,6,46,27
194,8,25,47,8,42,20
161,8,34,35,10,31,20
170,22,27,58,11,37,15
149,18,33,54,9,55,14
179,19,29,38,10,40,30
152,14,26,56,12,63,20
137,7,24,40,10,53,24
132,4,10,34,10,49,17
89,11,15,12,4,39,10
77,5,9,17,11,27,15
62,5,12,23,6,22,8
37,2,7,15,5,21,5
26,4,6,6,5,7,2
20,0,4,4,1,10,3
19,1,3,6,3,6,2
11,3,2,4,0,13,3
15,0,2,1,3,5,0
7,0,2,7,1,4,0
15,2,4,5,2,3,1
25,4,5,11,3,5,2
65,8,5,22,2,5,4
171,14,11,34,4,17,11
232,25,27,37,10,30,20
214,12,37,53,14,41,25
185,11,20,47,5,48,29
125,12,20,42,13,27,12
162,14,30,54,11,51,16
170,9,22,68,9,52,21
160,10,26,47,16,36,22
152,16,27,56,9,52,26
142,10,29,51,4,50,23
101,3,18,32,5,35,23
97,6,12,27,5,26,4
70,2,5,25,1,26,8
58,2,11,22,1,20,7
40,3,21,19,2,9,11
27,1,12,22,0,9,6
18,1,3,4,6,7,4
22,1,1,6,4,5,2
18,1,5,5,3,11,1
13,0,2,2,1,2,0
9,0,2,5,2,5,2
15,2,1,5,3,4,2
29,2,3,3,4,3,1
76,6,9,12,7,2,7
140,13,14,37,9,11,11
191,14,30,64,13,32,14
179,17,25,46,8,32,21
150,17,28,47,11,43,13
123,13,20,39,9,30,13
150,13,31,48,14,31,17
187,19,29,45,20,37,13
166,14,27,43,12,48,16
164,8,30,37,15,57,27
138,8,33,39,16,64,18
103,3,21,39,6,40,19
77,8,15,18,3,35,15
