N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori
3.159552904555318e+18,3.478747315555554e+18,3.653992489082968e+18,3.686666459715641e+18,3.715393066666668e+18,3.9311929873417754e+18,3.942722366972476e+18,4.0229896408839777e+18,4.0451450638297887e+18,4.124702097402597e+18,4.0285560833333345e+18,4.075102244274809e+18,3.864750027272727e+18,3.894686322981366e+18,3.907445714285713e+18,3.920520179012346e+18,3.833316431654677e+18,3.8619046855345894e+18,3.864708373239436e+18,3.930983e+18,3.9062412359550546e+18,3.895949674418605e+18,3.8923564256756746e+18,3.813489483221477e+18,3.851747103092784e+18
3.1356146705490847e+18,3.43931354252199e+18,3.661378063432836e+18,3.632222035874438e+18,3.712510983695653e+18,3.6536284427083325e+18,3.9834059226190474e+18,3.8451103787878784e+18,4.0072261625615754e+18,4.1841079829545446e+18,4.139391786324787e+18,4.019863877659576e+18,3.9660899653465334e+18,3.9746515505617966e+18,3.9878997397959194e+18,3.8575580483870976e+18,4.0234404596273295e+18,3.907990888268157e+18,4.054302488e+18,3.9132976459627336e+18,4.025904892215568e+18,3.885915654135336e+18,3.885578754629629e+18,3.828050909090911e+18,3.7056627142857144e+18
3.105536636956521e+18,3.516462584507042e+18,3.6933520522088335e+18,3.7213906818181816e+18,3.8428608989898977e+18,3.667177856382977e+18,3.8737103488372127e+18,4.007416288888889e+18,4.089864410810813e+18,4.2115035988700575e+18,4.002502954248367e+18,4.058545270588234e+18,3.8876078707865185e+18,3.879475856e+18,3.7804579595959593e+18,3.8781851571428577e+18,3.920330652777776e+18,3.96586772027972e+18,3.9083429145728655e+18,3.9188747283950623e+18,3.951399365269461e+18,3.953000282296653e+18,3.8303294344827576e+18,3.828498692307692e+18,3.715301156626508e+18
3.04880431418919e+18,3.430668231543624e+18,3.7742688805460767e+18,3.744410826855123e+18,3.810236417777776e+18,3.7952289674418606e+18,3.942578138613858e+18,3.966494648044693e+18,4.048754417777778e+18,3.99434796470588e+18,4.1408747336448573e+18,4.0282581971153864e+18,3.9868839726027407e+18,3.7758817878787886e+18,3.957925771186439e+18,3.935144526717556e+18,3.8890426241134766e+18,3.8339118264462807e+18,3.915016932960893e+18,3.896031824e+18,3.994465976047905e+18,3.981895928143713e+18,3.9727037404580137e+18,3.7935752214765097e+18,3.768619e+18
3.241139303571429e+18,3.50742745522388e+18,3.643478368131867e+18,3.8269303513513487e+18,3.6942848848484854e+18,3.7426307051282074e+18,3.943764090909092e+18,3.9446675911949686e+18,3.8728799327731087e+18,4.192067975e+18,4.0737588666666655e+18,4.1085051327433615e+18,3.9471712698412713e+18,3.7526998352941174e+18,3.986673794326241e+18,3.913470348623855e+18,3.850191078014185e+18,3.877791170731705e+18,3.8815025555555553e+18,3.924461755244756e+18,3.834682330188678e+18,3.923480413533836e+18,3.862321827272728e+18,3.8600455565217377e+18,3.708830136094677e+18
3.200154376443418e+18,3.4655299090909087e+18,3.496445691943127e+18,3.666380071111112e+18,3.7167553121951247e+18,3.705991773255815e+18,3.9003101444444447e+18,3.8770315572139295e+18,3.967595976608189e+18,4.0002549691358013e+18,4.003513784140968e+18,4.007903571428572e+18,3.7488308588957046e+18,3.9235672883720945e+18,3.9593716358024704e+18,3.933327936046512e+18,3.846968776536312e+18,3.931853943548388e+18,3.8652462704081623e+18,3.860470193548388e+18,3.927974344444446e+18,4.0113484538461537e+18,3.9081157058823537e+18,3.708889081632652e+18,3.7293708486842086e+18
3.2552809034907607e+18,3.415391976190476e+18,3.736923363333332e+18,3.703193178571429e+18,3.75407320652174e+18,3.6868324e+18,3.985327965517241e+18,3.9064141056910566e+18,4.061079076023391e+18,3.991829062801932e+18,3.9186156569343073e+18,3.9733248967391304e+18,3.947068789743589e+18,4.060048483333333e+18,3.908483873015873e+18,3.8801515168539295e+18,3.795606802325582e+18,3.99184717127072e+18,4.002521338028168e+18,3.9120244e+18,3.936354780821919e+18,3.854521726027396e+18,3.8024318907103826e+18,3.788355720930232e+18,3.7222714184782607e+18
3.002910373913046e+18,3.441245882352944e+18,3.7690773678929766e+18,3.7664415507812495e+18,3.909393875e+18,3.7430331578947354e+18,3.8742178090452255e+18,3.905745655e+18,4.121302295918368e+18,4.102815014150945e+18,4.0893251568627446e+18,4.051541548672569e+18,4.0826888769230766e+18,3.9615546954314737e+18,3.865799983146067e+18,3.8446260476190464e+18,3.903701856115109e+18,3.763817255434784e+18,3.87886770754717e+18,3.9735216790123433e+18,3.912874375e+18,3.9652368163265295e+18,3.8469639161676646e+18,3.9279090300751887e+18,3.6576567142857155e+18
3.300216207650272e+18,3.460023393364927e+18,3.5095731843575424e+18,3.72933796153846e+18,3.7548764727272735e+18,3.7539864265734246e+18,3.734659881188119e+18,4.0818541195652193e+18,4.2299497394957967e+18,4.1030107916666655e+18,3.9829936296296305e+18,3.860860327272727e+18,4.026048991150443e+18,3.85821206542056e+18,4.043925409090912e+18,3.9336223951612913e+18,3.831536090909093e+18,3.9258705370370365e+18,3.8387842014925373e+18,3.9497809504950487e+18,3.827587136690648e+18,3.9417749924242406e+18,3.989787684210526e+18,3.7692805100671135e+18,3.7456115433070863e+18
3.1813996156941665e+18,3.398463187050359e+18,3.59377475471698e+18,3.725371980676329e+18,3.7447455675675674e+18,3.699780883040936e+18,3.747031307692308e+18,3.9695141375e+18,4.006813405940595e+18,4.1276423846153846e+18,4.0164187748344376e+18,3.834816140939598e+18,3.916782796407184e+18,3.883828628571429e+18,3.9360662129629635e+18,3.88918456687898e+18,4.032668311111111e+18,3.902678413580247e+18,3.887033731958764e+18,3.8668363417721513e+18,3.9001307924528297e+18,3.928613792349727e+18,3.8922392e+18,3.798105161676645e+18,3.728599306451615e+18
3.1079542897350994e+18,3.4572972301136364e+18,3.743786285198556e+18,3.6982125137614664e+18,3.748632918215613e+18,3.714463403508772e+18,3.8858692216494863e+18,3.956981011363635e+18,4.0741784545454546e+18,3.9606258693693686e+18,4.0595480869565215e+18,3.9427863094170414e+18,3.9940601366120207e+18,3.911705546875e+18,3.9473867430167593e+18,3.781608778688524e+18,3.8410366855345894e+18,3.824916986842104e+18,3.796037533783784e+18,3.9325840061349693e+18,3.951770253424656e+18,3.977247664233577e+18,3.7866795813953505e+18,3.8016612052980137e+18,3.6921336066666655e+18
