N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori
7135,6815,6902,6911,6983,6992
7120,6820,6826,6854,6965,7029
7059,6881,6905,6917,6937,7016
7038,6833,6829,6958,7032,7022
7029,6836,6792,6955,6870,6949
7056,6910,6792,7067,7038,6949
7126,7015,6902,7134,7041,7044
7114,7075,6957,7140,7148,7074
7096,6936,6945,7203,7175,7050
7102,6924,6899,7186,7032,7007
7117,6910,6999,7139,6980,7004
7138,6925,7091,7091,7096,7074
7090,6938,7057,6981,7020,7065
7120,7024,6978,6946,7084,7083
7077,6880,6929,6954,7029,7068
7126,6905,6896,7024,7097,7007
7047,6964,6829,6900,6870,7022
7053,6950,6902,6960,6947,6980
7129,6982,6771,7086,7148,6980
7184,6965,6810,7185,7090,7050
7242,6893,6844,7125,7215,7172
7202,6834,6908,7128,7178,7138
7102,6743,6905,6933,7145,7041
7096,6828,6945,6823,7142,7001
7062,6794,6905,6861,7032,7013
7062,6757,6917,6871,7047,6968
7023,6882,6859,6954,7123,6910
6974,6900,6856,6894,7008,6888
6977,6831,6862,7012,6907,6876
7001,6947,6902,7096,6992,6922
7023,6990,6966,7143,7014,6961
7038,6965,6987,7234,7181,6980
7053,6906,7006,7187,7023,6980
7071,6839,7036,7016,7090,6955
7080,6914,6975,6950,6913,7004
7056,6881,6865,6930,6916,6943
7087,6892,6948,6902,6947,6955
7096,6806,7002,6884,6925,7041
7065,6779,7002,7004,6928,7108
7032,6954,6887,6990,6962,7016
7026,7028,6826,6952,6867,6949
7032,6949,6829,6992,6867,6922
7065,7019,6887,7054,6916,6989
7099,7030,6902,7231,6995,7053
7068,7011,6948,7170,7242,7065
7059,7000,6932,7097,7209,7019
6998,6973,6963,7129,7157,7016
6974,6803,6938,7047,7145,6974
6983,6843,7079,6956,7160,6904
7016,6838,6978,6860,7120,6940
7004,6859,7051,6849,7148,6977
7001,6802,6960,6960,7093,6913
7053,6844,6963,7037,7175,6943
7096,6894,6859,7122,7160,7010
7114,6948,6942,7060,7026,7065
7157,6994,7079,7035,7203,7135
7184,6951,7079,7047,7248,7086
7199,6973,7018,7044,7108,7096
7181,6953,6914,6887,7139,7050
7169,6839,7009,6865,7050,7077
7151,6649,7030,6833,6913,7135
7123,6764,6893,6897,7081,7077
7016,6797,6823,6813,7075,7010
6995,6825,6847,6930,7017,6971
6998,6842,6884,6936,7069,6907
7090,6952,7033,7050,7105,7007
7080,6859,7042,7153,7166,7099
7096,6861,6844,7191,7096,7029
7111,6882,7033,7135,7056,7022
7114,6940,7051,7092,7111,7053
7059,6884,6951,6939,7026,7029
6992,6861,6987,6873,6977,6922
6998,6831,7039,6894,7032,6940
7032,6773,7124,6849,6992,6937
7013,6766,7015,6865,6971,6943
6968,6817,6990,6890,7059,6876
6952,6898,6905,6960,6931,6931
6968,6930,6951,7010,6895,6989
6968,6894,6929,7043,6947,6919
7026,7066,6929,7078,7023,6946
7038,7137,7002,7103,7023,7041
7026,7064,6945,7063,6931,6986
7071,6943,6972,7059,6962,6946
7004,6893,6990,6912,6983,6833
