N1,N2,N3,N4,N5,N6,N7
12.41750586,1.49923707,1.283450079,0,0.77580063,0,2.540666965
4.817678059,0.101572221,2.533957413,0.225289275,0,4.153787983,0.2400499
2.760264808,0.655044123,0.288185023,2.254574195,0.260638651,1.733568799,1.208493836
8.892790399,0,2.780012743,0,0,1.223577189,0.763377946
2.69066741,0.18292537,2.02477623,1.821304116,1.319626899,1.455831226,0.361191973
3.626567308,0,1.255482158,0.735174279,1.202213402,0.310006933,0.847547937
6.343580375,0.740298222,1.831262351,1.894621208,1.210924265,0.312276873,0.097901933
3.573410255,0,1.729262669,0,0,0.167748026,0
6.299993012,0.012039369,0.594280695,0.236168054,0.120243678,2.450338558,0.863736495
5.737977942,0.168094145,2.262428876,0.661055757,0,1.986876777,3.318641888
3.889309363,1.182414936,0.616231613,0,1.2118835,2.816424787,1.654875864
1.502357763,0.139497053,1.185334069,0.830886854,0,0.220421093,1.429917084
0,0.642037266,0,1.090376367,0,0.546539263,0.199831075
4.41023211,0.551185651,3.172038113,0.506060745,0,1.225555967,0
0,1.361724419,0.35230117,2.913419845,0.752010269,0.853556036,0.683667938
0,0,0.578220079,0.448488401,0.747753608,1.490170154,0
0.164547853,0,0,0.559860098,1.251722196,1.711752066,0
0,0,0.324869818,0,0.522018317,0.470336942,0
0,0,1.331041048,0,0.018240754,0,0.10926533
3.798722471,0.999500309,1.108766655,2.691223429,1.320392513,3.397660074,0
0,0,1.220577591,0.970559168,0.717819918,0.489345302,1.580806366
0.077474885,0.067656361,2.016832799,1.048295258,0.836860867,3.039767795,1.76446751
4.622986476,0.403584553,0,1.941774621,0,0,0.17986919
7.769798101,0.541985309,1.136447249,0.369899378,0,0.749836701,2.364271936
2.68872201,1.433902331,0.331311813,0.695155024,0,6.229330036,0
0,0.33914765,1.81868204,4.313073163,0,3.943033943,0
6.449157387,0.496304467,0.258528574,0,0.364532679,0,0
0,0.268920143,0.630285031,1.968942217,0.515326772,0.442942696,1.097479541
4.116012012,0.545468168,1.746061269,0,0.170775924,1.581181596,0.648887296
8.641271929,0,0,0,0.629954999,2.647128213,1.4137651
0,0.956434076,0.736343599,0.944181892,0,2.676822197,0
1.315898056,0.100757943,0,3.087282217,0.555259207,0.750076219,0
1.706066808,0,3.042575608,3.661482508,0,0.936975393,1.863284879
3.275751778,1.31397167,0,2.012443034,0,0,4.172829944
10.05460832,0.700854566,0.60727216,1.640136703,0.410723112,2.686865177,0.33156919
11.91973474,1.753673214,3.793075924,3.667468949,0.005184091,0,1.9110986
13.36895443,0.040835384,1.217784265,3.593893225,0.842733229,3.687957929,0
8.726045909,0,2.221214144,2.845067308,1.227962121,2.272003593,1.418290929
3.148394667,1.787481122,0.58563777,1.682984435,0.32927571,3.417066205,0
9.838802689,1.977862809,0,2.414075759,0,2.883609751,0
0.071711674,0,2.411097497,1.420124725,0,4.369987274,1.25930675
8.526165418,1.918143917,0,4.114924701,0.187478566,0.819020309,0.124123008
7.394013481,0,2.026229454,2.659670604,0,0,0.317815197
5.732699765,0,2.124182304,5.5440999,0,0.822495349,0
13.12741394,1.625183353,2.456537093,5.086830267,1.324633708,0.206534803,0.897026247
15.96259486,1.862297594,0,4.922602803,1.147543052,3.593291074,0
15.89793037,1.924176186,2.94236426,1.93060785,1.03071866,1.407079779,0.858606465
20.27153073,1.78766059,1.503806258,1.384740947,0.903854519,1.324287971,1.183443852
16.94360188,2.680446648,3.44617975,4.104758881,0.870000618,2.144100648,2.755821935
18.67936162,1.653403658,0.161004174,5.900713327,0,3.140633104,3.498072194
24.82691885,3.581835555,0,6.724568881,0.13097091,3.632611074,1.190335677
21.70608898,3.111515944,3.310709629,5.163318572,0,4.273962605,1.101700508
21.38638901,4.076274231,2.474123242,7.331135605,2.411472114,3.298060086,0
28.39279372,2.622841827,1.242546876,5.965340346,1.321461449,0.267445801,0.629251078
30.32120842,3.422003493,3.295784946,6.395403474,1.422486693,4.741609729,0.941003475
26.62363519,1.952478487,3.781484861,6.894628435,0,3.664697772,0
39.61499625,3.135073172,4.428937759,7.089077129,3.408192498,5.826481341,1.226331196
37.75867395,1.653097001,4.585109751,9.466339406,0.147111699,0,2.865707052
33.71965701,3.408011521,4.998834046,7.273391728,0.07259194,6.698752213,3.986145096
32.01048679,3.7560447,1.935289454,8.898346329,1.442016156,4.866364183,3.352061602
25.92299304,2.152174277,0.509656097,11.0681211,0,4.529672076,5.253949385
31.68508626,4.548044958,4.051027441,10.4009561,0.895834975,5.969468907,4.373296244
33.65968427,4.198687475,2.684547737,14.62082326,0.495428906,8.838530512,1.370206146
34.15521177,3.637832275,3.695003693,7.51076319,0.743639078,2.291386628,4.198499514
27.44815937,1.296799946,6.541197888,9.965683269,1.646615767,10.48133901,6.529984943
27.83507618,1.160685599,4.366085447,7.419551605,1.581878605,4.611354867,4.690338578
23.4124045,3.390034315,3.503540927,5.509082235,2.163897924,7.58173936,3.663251142
15.88506664,1.037577499,2.944668226,10.51161183,1.523389331,7.47876643,1.685518071
26.27212233,1.983255845,4.924840452,7.180805706,0.516416039,4.786945939,1.413025188
23.03002296,1.352925961,4.423825254,6.080129336,2.821483613,4.022468215,1.367831347
29.73458996,0.492824923,2.711787141,6.690918894,0.177159057,4.931865495,2.572451424
19.5862036,3.262713221,2.243793944,5.333051994,1.886455742,3.405337715,2.054896465
18.6056272,1.450813655,5.014314225,6.67403031,0,7.342843039,2.513632876
13.57080199,1.640045186,2.262280029,5.322987128,0.130108378,7.1257383,6.714064295
24.30578245,0.615804015,4.562005415,4.908895081,0.649954674,8.082698242,3.838825137
17.95942679,2.12691144,3.716192138,2.927904049,0,4.6393095,3.256376375
25.48832899,2.194401244,3.066372901,5.47333557,0.541904172,6.486492552,1.880090052
18.61820315,3.500185187,7.022171161,2.855324648,1.593480124,4.521920658,4.355741794
20.69415955,3.200631287,4.628988827,5.72353075,0.866654416,4.640169756,1.636716872
15.09273581,2.266142996,3.668756352,8.844529933,1.764740673,10.22218275,3.738149755
16.79710779,0.347647754,7.100838795,6.425484112,1.745932658,6.823928242,4.738442388
25.38852625,1.37792261,2.280241718,5.76908179,1.379575339,3.741587865,0.471292452
28.52274548,2.319556639,5.569499811,9.189437226,0.021226644,6.487949494,3.188949001
26.723235,2.427298421,7.178432579,7.595737786,0.5692614,8.694166063,3.130015335
26.63117902,1.816722727,0.624028985,11.06959314,0,4.273852117,2.02863318
36.07239275,2.237737004,4.408844808,8.221897946,1.49939323,7.424923329,0.61923284
20.73111604,1.327231922,8.440089535,4.618050789,1.332571087,6.910484065,5.096155376
28.03086049,2.944893589,5.271146623,8.579251179,2.360612517,11.72539921,6.017557888
31.9192596,0,3.932857229,5.174907077,0.910461134,7.077517821,3.868121097
26.44304489,2.475729176,5.843572886,9.847787034,0.795053791,3.79664037,1.904895055
26.40339453,0.450808377,3.71390633,11.28197064,2.314444343,1.57485153,1.419380088
29.0085386,0.562196016,6.2069249,8.714300565,1.80775546,7.667770875,1.881516333
31.78007015,3.249045333,3.905975604,8.37160527,2.980347357,8.152798597,6.096657809
25.5724162,2.976862662,5.944935654,7.716355595,3.152180912,20.1116992,6.823244975
27.31689088,0.796645963,2.93537038,8.374647549,1.933402909,11.36298741,6.203706842
47.0819356,0.429382656,5.387277315,9.469659629,0.754706923,7.813979073,2.815664052
28.01102137,1.310954958,5.592113575,7.621361655,2.781149822,8.289593168,2.488797705
31.65479885,1.626120723,5.29423381,10.63271441,3.095771599,13.30227213,5.576648094
36.32384322,0.407519617,3.741921497,8.496009974,3.285681482,11.02601093,2.794166473
23.42089354,1.387044956,11.31694948,7.835626076,1.590872945,4.825883486,3.266754998
20.07833402,0.096671978,4.336449465,8.558305348,1.331816914,10.94629505,6.028955232
35.29792596,2.143552487,3.180392652,6.434100418,0.586416976,13.09399553,5.11339802
35.58617028,0.750422531,5.402380279,9.463853858,2.510519369,6.539058809,3.937647405
32.45970579,0.042693314,2.506402657,9.820305216,1.898452342,7.710014402,2.438398459
28.49070491,2.355921808,2.68559944,6.634798931,0.396497961,9.014892952,5.278349778
32.81928396,1.788820799,5.703509466,10.46351808,1.491896896,2.516524182,4.767360665
21.65435547,1.678197947,3.162738154,6.444382393,0.386329729,5.976846035,3.848920586
33.81378543,2.243825403,1.204624205,9.116534096,3.718362983,5.75690073,2.274843016
30.26642625,1.20794072,3.520712533,8.922104386,2.941242512,7.473890676,2.608054316
20.74471165,2.586913369,1.739912663,7.991032921,1.332331349,9.304135583,2.444328624
14.96475523,1.699612177,7.388760579,5.908930385,1.556200409,3.21288078,5.527958659
17.12650957,0.220352848,4.684249248,3.815081201,1.846838426,1.983540396,2.240459473
