"","N1_Ori","N1_Fit","N2_Ori","N2_Fit","N3_Ori","N3_Fit","N4_Ori","N4_Fit","N5_Ori","N5_Fit","N6_Ori","N6_Fit","N7_Ori","N7_Fit"
"1",9,17.7823886289536,4,2.63897322359604,4,1.0819223896411,1,0,2,1.514654804648,4,8.49313092588693,4,4.78695718885137
"2",11,18.6567664391335,0,0,4,3.02894037471977,1,0,1,0.377736795801427,3,4.74399745237632,1,0.707789358974809
"3",8,7.20422852473992,0,0.28839828900426,2,0.852536771915796,0,0,2,1.7587769493858,4,1.60608885645377,1,4.22079105977941
"4",7,13.5597890791483,1,2.82125041354388,2,0.928380521359984,1,2.24394643971733,1,1.76045395782549,1,0,4,1.55879701445508
"5",6,10.2717479218146,1,1.39160277592425,2,0,1,0,0,0.073364310077297,1,3.58227101580317,1,3.55546387771218
"6",8,22.5466891701647,0,0,0,2.18933438406589,0,3.11982752487326,0,0,3,2.12851027497644,0,2.62829633323369
"7",5,33.0109139150435,0,0,1,0,0,0.615128470200331,1,1.09817929967964,2,5.40657004276902,0,1.6759019910716
"8",7,14.3652164063598,2,0,3,5.12041316142869,2,1.08059428176219,0,0.333507026716374,2,3.25336344293214,2,3.37668359481016
"9",2,0.869401971391454,0,0,0,0.577596057177792,2,9.89010036815876,1,1.91734651650265,3,4.3015361875619,0,1.72335615300601
"10",6,23.5342617927238,0,0,0,0,1,0,4,4.77901343283484,0,0,1,0.311424892461047
"11",5,2.87434424594173,1,2.08297293429024,1,3.0377447554015,2,3.28507600910064,2,2.45713909883365,1,1.32103893201532,1,0
"12",2,4.69572889698877,1,3.66281889367368,4,3.06857326574987,1,6.87490103474846,0,0.368531768430511,4,4.87652719733671,6,4.2379719642936
"13",12,11.8201637174552,2,0,3,5.70378783065151,0,5.97084838038584,2,2.08590553118487,3,4.22613320957477,1,3.35460495837294
"14",11,25.149483913521,2,2.65312550954776,2,2.27844997447936,5,9.09288053391058,1,1.26284395784356,6,7.26278587897362,1,3.71245357479756
"15",31,47.8246555481116,3,6.708840573587,4,4.60718935036786,8,17.3287570516369,1,1.50030486590773,4,0.692763894988351,0,1.77834023087204
"16",45,56.1703686855931,3,4.31885289452614,5,6.18474054929321,6,11.2665344365678,1,3.05702245085404,4,0.694888471695008,1,3.53279849592287
"17",76,93.8368380606689,11,9.04143613555499,4,3.74837874331242,13,12.9595417601792,1,1.84274809658761,8,7.72636089892997,6,1.2488371692869
"18",103,91.2735060285944,7,6.97127070232832,5,1.62229134161081,19,16.1871122393851,4,5.08406175462547,9,7.56666420388072,2,5.5285665015276
"19",97,58.0831544399279,12,12.2608274288451,13,13.9435489229157,22,19.5146922312067,5,6.58905781401692,15,12.1152976906937,3,6.69583459953489
"20",122,85.4646727954135,10,6.67383438264445,12,8.67480475764636,29,19.6193978283998,3,3.88647304320204,11,12.7746505826574,10,10.2774385759063
"21",107,97.6292495258639,12,9.19553449664012,10,11.6639212551444,46,28.1700996148933,3,3.70327872444412,21,22.3877861151082,10,10.4425543760634
"22",89,86.7845121233877,6,4.72866355792764,17,14.0235233343055,29,31.0321315846272,6,4.1645287086439,19,19.6747574905218,15,13.4468546290357
"23",80,75.5152167685419,8,5.71419359749553,12,12.8621270867619,26,19.7871581337289,6,4.8999702619208,18,16.6207954340268,6,7.78611877590232
"24",89,40.664742745742,3,3.48472137553297,10,12.0265780365591,22,27.5068672088961,4,5.38931925096127,14,16.5995837226999,5,5.9042414317196
"25",73,62.5363699449266,4,7.49159114050727,10,9.91766938611241,14,23.0213974969102,1,1.54636173865494,20,20.7059856812695,13,11.8152882868605
"26",69,69.961243220709,9,6.78147322125318,12,11.9190167422143,12,18.1280298873924,3,3.45291497381107,15,21.0283717317235,10,9.09286118637231
"27",71,103.027790254129,8,10.1743815746359,14,14.2345729669417,28,21.3562768016335,7,5.47583939381871,20,20.3095305081555,9,11.758013239204
"28",92,61.2752452930753,11,7.16204938931078,13,9.17736556627107,25,23.4125664034668,3,3.71885670333298,16,12.0357113051839,7,9.03414464943352
"29",84,67.4828324225285,6,7.29685761575608,15,9.27614557590437,22,21.1528964974394,1,2.30285932016991,22,25.8320164096515,8,10.9131810881794
"30",79,103.562586448028,6,6.02739307553403,14,14.9314005544479,27,20.930068297731,5,4.77778334105422,22,20.7515451062839,14,13.157612233368
"31",76,96.3158640356101,4,5.84515342326404,15,15.0877553512125,21,26.6577883266401,5,5.57900359812576,14,9.86410419873143,8,10.7054194709865
"32",100,64.5948416429799,5,6.23335210274077,13,10.8086452971671,28,25.1778016516412,9,7.57452895986036,49,45.7223793712705,16,10.8698978896989
"33",72,65.1357837917199,3,4.5856910245815,15,16.2167452766202,26,26.0324536952491,10,9.47186941527336,33,31.0281403608662,10,13.0378299887759
"34",76,73.2397699087872,6,7.48394104437006,22,21.2639277285992,30,31.1430300556606,4,5.28732276087864,34,29.3118960047916,15,8.60783654073021
"35",80,66.9633735113326,4,3.91317490079526,13,12.3405193355113,28,20.7834788432885,5,5.38646485119355,25,26.3314647611809,10,10.0370226838204
"36",89,59.2651583263764,4,4.61278061080266,10,6.69774905550918,27,22.7076207318889,5,3.94216011284595,14,11.3050578009643,10,8.70459900932153
"37",67,32.2525527122997,5,6.54140504613516,14,13.4172542289733,18,21.6156707963191,6,5.39746057295707,22,21.7751012259371,9,8.75148674971154
"38",48,40.6456001238763,2,1.29277203272164,8,7.75702075833338,15,10.9107787275288,3,4.23806725334562,14,13.5180965035562,5,5.9325714233026
"39",52,65.9978285751032,3,3.78232571245348,7,2.76283502055502,15,10.3267561232725,2,1.55394373547417,17,13.8798889579607,4,5.42935695990489
"40",30,53.2495353223383,2,1.21829793460351,7,6.09041489979367,10,8.55235075606161,4,3.70435140545825,14,14.8767142440516,9,7.60793345851586
"41",31,25.445157353179,2,3.19113333770948,8,6.84564664583828,10,5.90914088842218,1,0.776072316503602,13,12.9146323458218,3,3.12775806439004
"42",33,53.0344806353985,2,3.76145566107449,6,8.8618947105278,7,6.06060204351272,6,5.41615180910153,9,8.22034080685681,4,0.174671116698173
"43",30,25.6899526788644,0,1.16916630327419,4,6.80542116624046,15,5.76692551621369,3,1.89604749981995,9,7.79777610244309,5,5.77166789828128
"44",21,1.9249356184353,2,2.92054300739603,5,3.88758732560197,9,8.76275136911526,1,1.77929679699289,20,19.7628124387587,5,5.20235666575148
"45",24,20.4601891973281,1,0.0152127233650017,4,2.95978372733371,7,4.62116776074775,1,0.945048769600316,7,7.31831545479403,1,1.17952057158054
"46",22,14.5205552945065,2,2.61681232623008,1,2.96675906636298,3,6.57468034521097,3,2.00233052499713,8,13.0849576724252,0,4.32216463925116
"47",12,0.133262333431436,1,1.64455844525421,6,3.71874419350778,2,6.36939250733233,4,2.53227449306254,6,6.94608095145135,1,5.92720071733311
"48",9,33.1381039164067,0,4.01907569775127,1,4.08191479073186,5,4.64103718758409,3,1.80175659297477,6,8.0135180450486,1,1.6734405869144
"49",8,35.3797598044471,1,1.4464556075121,1,0.470420022344237,5,4.82555409612846,0,1.12799736071035,3,0.132875317798023,7,7.56201336212986
"50",6,2.22868364139895,0,2.66890505806018,1,2.10202820692858,3,3.8521346897061,1,1.9074842179673,4,5.95442749493075,3,6.19176038156324
"51",10,20.8590281265895,0,3.10443809966701,2,4.18800602131931,1,3.08925357750448,4,4.16487067176627,5,4.15914777184681,1,2.3683381114553
"52",5,8.89452951335773,0,0,2,2.48089525965593,3,0.176464955951968,1,1.16597617877181,4,4.38628370527225,4,4.3109719515096
"53",5,0,0,0.00328078413328296,3,5.93967884916268,2,6.29041327023137,2,2.28653804691935,2,0.891293253219592,1,3.09320368941037
"54",4,6.72478197509637,0,0.556069750285689,1,3.57610382104892,0,1.05280745688928,1,2.1240174804974,2,3.47174944672363,0,2.65674962046649
"55",3,9.02915787869513,0,0.24585065115385,0,3.57532319437912,0,8.69433483932992,1,1.39054150953953,3,2.62765401853616,0,2.12857666694803
"56",6,0,1,3.9220930773678,2,2.62324683420115,1,6.21791339309813,1,0.831100876047213,2,3.93687714742629,1,2.89994753533938
"57",3,0,0,2.10072021985702,1,0,0,1.56282121082021,0,0.302152018127863,3,6.56067675178855,0,0.043550252452234
"58",3,11.0547577015777,0,0.800617722819397,1,2.33638230343713,2,8.30381813285581,0,2.41010027383577,3,2.65283012170366,0,1.76376687045888
"59",12,0,3,1.41287590489082,3,2.333646204601,4,3.15087058883756,1,2.03788696077823,0,0,1,2.8868448516576
"60",8,22.0037759878986,3,0.414420222603702,1,2.25735320465931,2,8.46279793785817,1,2.75047354976946,1,0.7470462544724,3,1.12699031458265
"61",7,41.8954201523169,1,1.27316020855539,3,4.25658264948984,1,10.4099176737817,3,4.02867507863255,0,4.34769942734115,2,2.22617851815583
"62",23,20.1398708303497,3,2.88677458969378,3,4.46420520254863,1,8.42936361711544,1,0.22492709816932,5,2.8347175439082,0,5.10484514048603
"63",34,50.9261100792122,5,4.34780903113348,4,5.92728432949586,9,9.78995071772503,3,2.26575347982649,4,5.89091914195774,4,1.74449692670406
"64",57,61.4868987518689,7,6.52994935852575,3,5.19843051895243,6,11.4759385798492,1,2.49240320100921,2,0.0218320468867486,3,2.38982964540054
"65",86,72.4000865415751,6,6.49816247945446,12,8.91391998087678,13,7.45063186179027,3,4.08664206299768,4,6.2162513273842,2,2.4174248663661
"66",93,80.1587006224841,4,4.03832838919843,14,14.6786997872104,14,15.5724829256108,2,1.14830947490011,9,10.5293757319714,6,8.0689574992779
"67",111,115.440223291663,13,9.78819007370769,6,4.69754100101598,20,16.9163389076198,3,2.63051187820211,18,16.7987085362757,4,10.3741709267384
"68",117,117.310334244884,13,10.8716190031218,15,12.5944967125664,29,19.482104545368,5,2.88642196841213,21,16.7380295678754,12,9.86624569535299
"69",88,95.6063560586097,6,7.09965333962344,5,4.03652760287763,35,28.5990969029215,4,6.35452763556505,16,18.7260475270133,15,9.97619827122269
"70",101,114.903681063709,10,9.44520895039332,12,7.53717609067135,29,23.6746219809011,5,5.21709582396885,16,14.5480275606151,15,13.089724206185
"71",107,93.4051357173374,11,9.58788973988223,17,15.894606824173,38,30.6880372108705,3,3.45335009606015,12,11.0493288572445,11,11.7312492413572
"72",89,69.5196731241205,3,6.65381320310117,9,9.89839417301721,15,23.8711411087155,4,4.22197033540721,16,16.8168462422122,5,9.34872941093655
"73",56,59.6336245472773,5,5.32473024582612,7,9.16744585424975,26,31.464411453311,12,12.0246919444402,13,10.8895370472813,10,11.2249406445813
"74",67,77.5825055916186,5,5.43229579472484,11,15.0557293874026,24,24.9527057035504,5,4.49576372387819,22,22.7783183719117,13,11.9093082001255
"75",78,74.1796161675412,7,5.36819883695016,13,10.4586308916453,16,20.1842666517725,8,7.68839189993576,13,12.8773690221804,5,7.3477318926205
"76",85,110.901883734661,3,5.69718001666789,10,9.68129518272989,26,28.3468954150064,6,5.06988948042311,16,18.529126194079,8,10.1386640616245
"77",97,66.8940931714784,11,8.00756078901214,19,18.6690615244631,24,27.4466862897169,6,4.82749380825526,21,22.1282429966252,14,10.333422416917
"78",82,75.1358938954866,2,3.08737487050842,9,9.46758596853265,32,28.8409705579436,6,6.44696808740754,25,28.6986120510672,9,6.98035967105527
"79",94,88.0589498975209,3,2.97966152999833,14,15.6050305044962,29,23.6557377242035,1,2.00199232920999,26,24.6117258952587,8,10.861236269218
"80",91,58.4432986721375,8,8.53599014730702,15,11.2888309150555,37,36.6977228827613,5,5.15146846987372,19,13.6997135584762,10,7.66951567935342
"81",80,86.9292365485286,7,4.2836177896031,14,9.09706554916626,30,25.0545568088247,4,4.08536535993238,23,22.2727090249152,11,7.92422019663201
"82",87,78.1769775830279,4,5.45825792970194,17,18.4212348389206,31,26.8398276839936,3,3.14901293378736,30,29.0114769411171,15,11.568805999551
"83",74,51.1076778994018,6,4.56470260728269,20,18.5383706272129,24,21.9915364383728,7,4.46312671241541,23,19.7621781039234,6,7.28908311896831
"84",88,67.7243798290303,3,4.43655039573406,9,10.4403981918506,25,17.0182422777265,5,5.33309027205312,25,25.4530665678616,8,10.3974681109668
"85",68,86.5256871250137,3,5.06045410786822,10,9.06717967230853,25,16.5471468433262,2,1.22317639146485,16,13.0958460227361,11,7.3169748896195
"86",48,61.0877786022955,6,5.23175926604889,16,17.6789493661141,14,16.7163387485666,3,3.91544016734095,11,12.3792815036904,9,6.67688817999366
"87",58,63.174042688492,2,6.08389697968054,10,11.1744278602417,16,18.8127656583254,2,2.31762303352166,12,12.8798657885253,5,4.52692826649729
"88",37,35.9853385301672,7,5.68012188960064,9,7.48058112052831,16,15.234822760018,2,1.93528247187768,12,12.3641305772998,4,3.12122503226438
"89",26,32.0035450185171,1,0,6,8.43774429766918,6,14.0879168547515,0,0.0937626623303436,9,11.4444581532731,6,2.98134143429477
"90",28,35.5260917609133,0,4.1032027910633,6,5.96229891910455,4,11.1851953472387,2,2.71698613985844,12,12.8435232836323,5,1.14516886060755
"91",32,31.0717127905174,0,0,3,4.8751337474435,12,11.36198763314,3,1.70857058232242,13,9.91077626232634,2,2.80595775372427
"92",30,41.7475962832216,0,0.461431128352776,5,6.41914098619899,9,7.8900735963206,2,1.70668626386046,11,12.8231054238103,3,3.08540839439224
"93",23,41.2335267187108,3,0.0330503836392269,8,4.46705909923067,7,14.0104099403672,2,1.10611059437255,17,15.8337672555572,1,4.17968550278568
"94",22,0,2,0.617885723689827,2,1.39544762328914,4,3.66900455845931,0,1.27832346571126,11,9.61917569331113,3,1.16864318337648
"95",11,24.6957850557909,3,1.20089033059255,6,7.20960722595452,8,7.91806186694053,2,1.76339579562209,6,7.35089467406398,2,1.48517266691581
"96",9,9.37454196785683,0,2.15234414316441,0,0.99553516496286,2,2.96899292367646,2,2.11176890373753,10,7.88425535286288,0,3.44977633781397
