N1,N2,N3,N4,N5,N6,N7
3.9999995,3.0,1.0,1.3775296e-07,2.0,-1.5894572e-07,2.0
1.9999987,1.0,2.0,0.9999999,-5.8280097e-08,3.0,-2.6490954e-09
2.9999995,-3.1789146e-08,1.0,1.3775296e-07,-5.8280097e-08,1.0000001,2.0
5.9999995,-3.1789146e-08,2.0,1.3775296e-07,-5.8280097e-08,1.0000001,1.0
2.9999995,-3.1789146e-08,1.0,0.9999999,-5.8280097e-08,1.0000001,-2.6490954e-09
1.9999987,-3.1789146e-08,1.0,1.3775296e-07,1.0,1.0000001,-2.6490954e-09
1.0000006,-3.1789146e-08,1.0,1.3775296e-07,2.0,2.0,-2.6490954e-09
4.9999995,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,-1.5894572e-07,-2.6490954e-09
1.9999987,-3.1789146e-08,1.0,1.3775296e-07,-5.8280097e-08,2.0,1.0
2.9999995,1.0,2.0,0.9999999,1.0,1.0000001,3.0
1.9999987,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,-1.5894572e-07,1.0
1.9999987,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,-1.5894572e-07,-2.6490954e-09
2.9999995,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,1.0000001,-2.6490954e-09
1.0000006,-3.1789146e-08,1.0,0.9999999,-5.8280097e-08,-1.5894572e-07,-2.6490954e-09
1.9999987,1.0,1.0,1.3775296e-07,-5.8280097e-08,-1.5894572e-07,1.0
3.9999995,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,-1.5894572e-07,-2.6490954e-09
2.9999995,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,2.0,-2.6490954e-09
1.0000006,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,1.0000001,-2.6490954e-09
1.9999987,-3.1789146e-08,1.0,1.3775296e-07,-5.8280097e-08,1.0000001,-2.6490954e-09
1.9999987,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,1.0,1.0000001,-2.6490954e-09
1.0000006,-3.1789146e-08,-1.0066562e-07,1.3775296e-07,-5.8280097e-08,-1.5894572e-07,-2.6490954e-09
1.0000006,1.0,1.0,1.3775296e-07,-5.8280097e-08,2.0,1.0
1.9999987,-3.1789146e-08,1.0,0.9999999,-5.8280097e-08,-1.5894572e-07,-2.6490954e-09
3.9999995,1.0,1.0,0.9999999,-5.8280097e-08,-1.5894572e-07,1.0
2.0848765,0.13677785,0.1299764,0.35753313,0.4520917,1.0194548,0.13684571
1.5099455,0.3933144,0.704528,0.023478169,0.1773969,0.89455134,0.61089396
2.7496448,0.5589508,0.39728108,0.30274692,0.21989977,0.7674232,0.34303963
0.9744383,-0.128176,-0.16723166,0.22928394,0.3319872,0.9720467,0.53749216
1.399367,0.046326008,0.28167096,0.2809569,0.23451358,0.12595828,0.42049932
0.7773081,0.31037328,0.22919168,0.09052099,0.43319982,0.7209225,0.15567374
3.3113236,0.24462757,0.81782806,0.7693664,0.5859878,0.77977496,0.6463846
2.6585097,0.663495,0.4085776,1.017732,0.5106624,0.45977077,0.2746737
2.8328233,0.3075666,0.5437919,0.48976818,0.4271264,1.4273545,0.6495173
2.4759564,0.3596569,1.0904841,0.36912075,0.45536727,0.82070357,0.9089501
3.7086349,0.6347238,0.63457334,0.8441509,0.5412801,0.67763454,0.24452746
4.9300437,0.59001994,0.69097173,0.7652427,0.53175294,0.615624,0.8135601
6.398378,1.054605,0.48248902,1.2648622,0.37132037,0.7580381,0.3457507
6.103864,0.88986444,0.947459,0.2481953,0.5445682,1.4759537,0.9180039
6.1064277,0.6824477,1.1420634,1.1921424,0.947474,0.6812261,0.030512331
5.479508,1.1278713,0.94589174,0.51824677,0.69605446,1.3254987,0.38689113
7.0340476,0.9626988,0.6732451,1.0281662,0.668032,1.1767808,0.5779381
7.4226203,0.6694614,1.0063063,1.6482722,0.19020063,0.48631796,0.18018556
7.396643,0.4064212,0.5917131,1.9030293,0.7897178,0.6870163,0.5191622
7.9282336,0.2185274,1.157048,1.9550167,0.25527972,0.85042316,0.54419804
11.872947,2.0881474,1.6381904,2.7723088,1.063147,1.2081095,0.5693246
14.389309,1.0739955,1.7575772,2.4681783,0.48864156,1.3851174,0.6207473
14.74447,1.6476406,2.1356413,2.8749788,0.8759999,1.2150244,0.48177934
12.191706,0.620338,1.1396774,1.1701082,0.28055388,1.5221506,0.5468123
18.625547,2.578664,2.82157,2.9088216,0.66239107,1.14947,1.5288485
24.827023,2.156282,1.9356995,3.9896228,0.1256895,2.284816,1.2131416
24.972363,4.8154464,1.5812987,4.1015825,0.66935235,3.6845267,1.6840307
27.303934,1.8404089,2.8981853,5.1879015,0.5613462,2.9084315,0.48100162
30.176203,2.85591,2.1745884,5.1994915,1.3058852,3.4418724,0.834363
30.196062,3.0536368,2.4372199,6.274635,1.1277037,4.162979,1.2334734
31.09742,4.3638096,5.177412,6.7371645,0.7520217,3.9269116,1.7292854
33.230923,2.6048727,4.658636,7.5905285,1.3678205,4.7510414,0.9184499
32.075294,4.462207,3.1051986,7.8088756,2.5658746,4.75483,1.8305326
33.27518,2.1738174,5.0736785,9.37418,0.67590356,2.7540424,1.7038935
37.92889,4.062737,5.8706145,8.233626,0.028602304,5.4927015,4.3561544
37.521667,3.7226825,2.3152702,12.575591,3.0314322,4.7241583,3.4291596
36.797848,2.8028603,3.0913618,12.901236,0.4732598,5.20868,5.41696
30.903896,4.6406517,4.1470056,11.3911495,1.3094659,5.352745,3.3265276
40.56375,4.183464,3.6445463,14.369756,1.5920701,6.1594944,2.4743166
39.840008,4.488377,3.6492429,11.394121,1.8611462,4.9394464,4.369297
31.522627,1.6590757,8.429171,13.601304,1.969586,8.676336,7.0659018
27.997509,1.1271412,4.293676,10.231648,2.5655413,6.8175426,4.6386323
28.334852,3.0705285,2.79816,8.099515,2.6466515,4.6669974,4.1690726
26.764887,2.5040195,3.0600796,11.18699,2.1762545,5.6532683,1.911501
27.519535,1.2638688,4.402392,6.7072215,1.3901407,5.860088,2.2668712
28.831709,0.79565674,3.4475734,7.695767,1.8278646,5.803632,1.6430289
27.598257,0.029197304,4.834078,8.383867,0.25252283,4.5874,2.0225737
29.004341,1.6534967,2.7652063,6.322352,1.8928413,4.239922,1.4430184
23.330652,1.1539189,4.6803966,4.9163055,-0.0010578024,7.6191607,1.8040462
24.096594,3.4706218,0.60350144,4.905228,-0.1149295,4.509882,7.4708676
23.751215,0.4308367,5.1665545,6.2547007,1.2799346,6.396443,3.3335829
23.297235,2.621365,4.5661707,3.6580842,1.0376272,4.8526626,3.498231
25.882471,2.0805013,2.3045976,5.259137,0.1564241,4.3204594,3.391479
18.043514,3.8412097,5.0553,5.7769213,1.8135014,4.4702682,3.6459877
23.839214,3.5692866,4.3519187,7.635754,1.0798196,4.151071,1.1164484
24.86124,3.2870615,3.4895182,8.861349,1.871534,7.8907967,2.6926625
27.150076,1.27459,6.211866,9.082268,3.6746483,4.6966686,4.655862
31.951324,2.952132,2.0691686,7.600046,2.1264012,4.541886,-0.015205744
28.551414,4.639274,5.917128,8.536569,1.0617186,6.0905495,4.5191536
29.36665,2.928813,6.9248033,11.936569,-0.003239213,5.5047765,3.8980076
25.149734,2.2124994,1.7279575,7.4340944,0.07939929,3.976679,2.7416513
34.43997,2.4894361,4.34352,8.591657,0.17895347,9.45978,0.4509195
25.39381,0.88853735,8.92584,6.3119802,0.79738516,7.5384793,5.734783
32.103912,3.725548,5.4327335,9.386085,4.2476025,11.846019,6.047741
21.764196,1.5196136,3.923127,6.931804,0.9112555,6.8639746,5.3671465
22.41176,0.7372452,5.4733195,11.052691,0.0084692845,3.1014657,2.219144
21.977818,0.2508622,4.3462105,6.8026104,0.19453871,1.3083133,0.5307672
27.820559,-0.11701587,4.9674287,7.7731004,1.8260251,7.5677705,2.255271
