N1,N2,N3,N4,N5,N6,N7
2.65466854,0.363907814,1.132075377,0.32469919,0.558304355,0.64904429,1.243416145
2.891941249,0.229919851,0.706215911,0.257045217,0.401921071,0.474894606,1.130288094
2.364180207,0.476746619,1.07493069,0.485735387,0.386591949,0.389161147,0.424008816
2.212349206,0.304822803,1.197025292,0.291123241,0.518330298,0.288785808,0.638663322
2.62327908,0.320026368,0.89784611,0.185497105,0.437209684,0.366375688,0.337774344
3.506402478,0.422697514,0.595204197,0.505884178,0.299942091,0.497285649,0.045426711
2.816986948,0.268640608,0.316162985,0.108410697,0.393919699,0.523203798,0.660310984
2.194706172,0.526756465,0.91726061,0.05743308,0.158411294,0.967069995,0.634863377
2.672861964,0.099098831,0.861927476,0.218295865,0.229295474,1.240077429,0.24386175
2.449021131,0.175511062,0.516257063,0.087098032,0.248252302,0.711638667,0.022714064
1.965542361,0.418384939,0.470124409,0.097337179,0.129421614,0.73342612,0.074193552
1.840083897,0.386909127,0.770541206,0.475479662,0.11904199,0.658787973,0.391286984
2.574848786,0.474620312,1.221112199,0.715237949,0.082592428,0.862264168,0.597970895
2.537522823,0.338876486,0.901136175,0.681332685,0.228844367,1.113435067,0.486048311
1.799209282,0.650443077,0.625560768,0.686327461,0.289409474,0.870026182,0.260576159
1.171744894,0.21810174,0.394072384,0.983250421,0.126872558,0.96209636,0.389341414
1.742553726,0.491851687,0.509252362,0.592771359,0.544474714,0.543035008,0.171449855
2.150942862,0.316988796,0.516009238,0.731892977,0.553451627,0.258833729,0.219731927
2.199575871,0.22487694,0.235457886,0.681350566,0.837649763,-0.158873014,0.434114039
1.862522736,0.300858736,0.190813299,0.321446732,0.630614191,0.215770118,0.220851414
2.190734252,0.28792277,0.312290937,1.153728552,0.425046809,0.551975332,0.4579027
2.415119246,0.421854675,0.642497018,0.392850395,0.638385668,0.393451471,0.416779108
2.449913532,0.249460727,0.797782503,0.214652158,0.648943529,0.094084628,1.141311079
1.225655794,0.229919851,0.647633336,1.034991164,0.276516519,0.3708723,1.00902684
1.832537279,0.611880124,1.211491115,0.174569525,0.910351694,0.748495292,1.348141283
3.849652588,0.508338869,1.304386854,0.183052663,0.282284342,1.26416944,1.421631277
3.730099484,0.470868528,1.875224859,0.326579437,0.724042878,1.749223471,1.134176403
3.86645022,0.654329896,1.245074831,0.292268209,0.714660048,1.090114657,1.092059463
2.880619481,0.9324736,1.155019328,-0.079445541,0.724569529,1.039930526,0.437853672
4.509927779,0.920798659,1.20582819,1.255592331,0.722902946,1.783335395,0.223809965
5.276045889,0.497122437,1.141033173,1.481227949,0.349909961,1.758161187,0.932678431
6.806890279,0.853576183,1.651790254,1.288015582,0.522327438,1.99870225,0.587839894
7.739860713,0.855976462,0.924921837,2.736459114,0.251503222,1.366308797,0.592135973
10.85291123,0.947053254,1.599852741,2.77396515,0.309060499,1.465313695,-0.019981414
13.95776254,1.367865682,1.595232859,2.293412946,0.428966917,1.252074819,0.33726953
16.25229132,1.262278438,2.149278224,3.31344828,0.474268354,1.719120704,0.139458515
17.18499959,0.831820488,1.966338158,2.588883787,0.515799522,1.758517511,0.207411684
20.92069781,1.912265539,2.232174575,3.569247946,0.553652003,0.785049796,0.766816214
27.75554979,2.104594231,1.750065498,3.277024627,0.46982123,1.49598578,1.119558364
29.59226906,2.494562149,1.955536231,3.972207755,0.418236218,2.392897569,1.579760015
36.16998279,2.195869446,1.876705885,6.176862866,0.295010846,3.164688498,1.506123841
37.50946724,1.936720252,1.869156361,5.326968431,0.46094466,3.561947495,1.086576581
40.3516798,3.060981274,2.313961387,5.41100204,0.941895515,2.748397738,1.381862462
39.16576982,2.363083839,2.171383873,7.594489306,0.946163803,3.309957311,1.055662632
40.72073054,3.506527424,3.067741469,7.087168097,0.692162454,3.2201536,0.469749644
38.46446061,3.38959074,3.854011595,7.424960285,1.248089522,4.589302093,1.397572905
38.50442839,3.349221706,4.001868367,9.231940657,1.050181329,3.883644566,1.561885625
36.36398256,2.869341373,4.619898498,8.790186793,0.978543654,4.739104956,2.326723784
39.52294755,3.249238968,4.082316756,8.794816583,0.934261099,4.258696735,2.506966293
35.20147431,2.530763626,4.189261794,10.68266332,1.419873327,4.002895951,3.21003437
34.79410696,3.75601244,3.892411888,11.89018115,1.402391076,5.202563852,3.211630881
38.38903236,3.170650482,4.392925501,11.73663959,1.06163311,6.145780534,2.943310142
38.2029736,3.011639595,5.186912119,10.93175188,1.56190908,5.56538105,3.746501505
31.52305055,2.907454014,4.574557096,11.11786589,1.927335918,6.03460148,4.368986487
29.39647996,2.600682259,5.158908069,9.784328938,1.488573164,7.031911612,3.790769279
30.19592154,3.147143841,5.272193849,9.620895237,1.420442849,5.340223014,3.894990385
27.61452329,2.28446579,4.633292556,9.235420823,2.114859194,6.721417606,2.493227869
26.1690855,2.926269531,5.229234695,9.132485837,1.608470351,6.494064629,3.095444441
27.77735245,1.626769781,4.993949533,8.245866746,1.493437678,6.507632136,2.888708115
29.14040399,2.107215881,5.807020962,6.514969468,1.85428977,5.264535546,2.269230336
26.68344808,1.837222934,4.34145838,6.420338899,1.359765872,5.470151454,1.888899207
26.16297007,1.867147326,5.292977393,6.626388431,1.375764132,5.716693401,2.641875744
25.04558468,1.497976184,3.378751203,5.398305506,1.21851337,4.97848466,3.96430701
26.8017478,1.434286714,4.347276986,5.393581837,1.073094487,6.534882635,2.680039406
25.68629217,2.013807774,3.956085294,4.701153189,1.255342066,5.487086624,2.6647681
25.46480238,2.254395962,4.063889086,4.591510072,0.890220642,5.707336962,2.973600626
20.43308914,2.408712864,5.017975867,4.24182713,0.959682554,5.155740678,3.072659075
23.08592248,2.942732811,4.319291711,5.327879637,1.21881628,4.972740263,3.303835988
21.46378255,2.296554089,4.07599926,6.941500306,1.511386186,6.888686866,3.166822791
22.64754534,2.662409306,4.750909209,7.444527,1.788250625,5.972554535,3.199873269
24.26366723,2.670474529,4.184969366,7.314176112,1.583387792,5.996403098,2.658009231
27.62111664,3.449476719,4.868966639,8.212446421,1.3750709,5.210486054,4.411813319
26.59160554,2.947183132,5.57346046,9.307488799,1.298520625,6.085538864,2.347645462
25.59408045,2.90489006,4.753528833,9.70473662,0.257552128,5.215963721,2.800621688
31.26484096,2.998384953,5.017017424,8.965157717,1.093210414,7.108301669,2.722816169
30.08748353,2.445759773,4.665602446,8.40691179,0.968844667,7.011816651,3.598549366
30.51302278,2.59951067,5.322141945,8.208817989,0.943650395,8.131350577,3.446441591
26.04913235,2.785659313,6.040476859,7.420969009,-0.017147578,6.961201876,3.635615408
26.78669024,1.955079436,5.252203345,8.229414374,1.104469746,5.929611623,3.688544333
22.10619557,2.173653364,5.998936594,7.960198075,1.293665498,5.494684726,1.916634887
24.51535368,1.825796962,6.59036994,7.805916667,1.182468027,6.810911745,2.945033908
25.3206321,2.340648651,5.619096458,6.91626668,1.848759145,9.412307292,3.579414785
21.97688806,2.431913614,4.467133731,7.364013791,1.795763731,13.87642026,4.858956337
24.93862796,1.965038538,5.809112191,8.112600446,0.850384794,9.592226148,3.240851164
31.06250155,0.741698921,6.249408424,8.763933927,1.751744241,12.95074373,3.021759093
27.0720048,1.903092265,4.961842597,8.016595989,1.951873571,11.9032748,4.330868423
26.39959896,1.764088511,6.36199683,8.726311475,2.824637622,10.40133238,3.517104983
29.38125026,1.442056894,5.627610683,8.090095967,2.565426499,10.37660316,3.466993272
29.46979272,1.411506295,4.344126284,9.086010605,1.834342927,8.438257128,3.247781992
25.07069421,1.575014114,5.129540563,8.505614847,1.866783798,11.67986691,3.604644537
23.3128233,1.932981849,6.25200212,9.511309117,1.893919349,10.85217744,4.138207734
26.20564222,1.760281444,5.191614926,9.349817783,2.053389579,8.947787434,4.142925441
24.55724895,1.222204566,6.416929364,8.745358139,1.662388057,7.94678852,3.224755824
23.97317266,1.438947797,5.777809024,8.629079908,0.851319447,5.586934835,3.317964077
23.69145715,1.837292075,5.511356592,8.919224888,1.090141356,6.890627742,3.766895235
28.27144122,1.794127822,3.444866762,9.09916535,1.851010531,7.764513046,3.840374649
29.34690189,1.422465801,5.13918668,8.226984739,2.14377591,7.558635622,2.790780663
27.84865618,1.801000714,5.660334527,7.433754951,1.218441084,7.393650711,3.211951852
23.6228193,2.11765337,4.654207081,7.919759303,0.810808674,7.044827193,3.33782196
26.11120629,1.94455564,7.140039504,6.604526937,0.993485272,4.980450124,3.776634336
22.14839435,1.43150425,4.901421368,5.365434289,1.533560842,5.365156382,3.049788773
17.47844428,1.357115507,3.98363024,5.556412041,0.79276368,3.571676463,2.35390991
17.9153254,1.824034929,3.058666885,5.311334878,1.852310836,6.613638997,2.769143581
19.86574876,1.379997849,3.382796645,4.1728504,1.157938927,4.803681374,2.070065439
17.26468372,1.153629661,3.607079387,4.14224267,0.898159951,6.08593002,2.140200734
15.04864544,1.443511605,3.878900707,4.993081093,1.067637503,5.358133465,2.301903516
15.56010544,1.295320153,3.652749583,4.476514459,1.38289693,5.258303881,2.163303345
13.57739145,0.850575924,2.355231419,4.036793858,1.266386211,4.923759401,2.104624808
11.83316475,1.241522789,3.891008198,4.781857878,0.936008364,4.921162128,3.304686844
10.42761433,1.327354193,3.49878341,3.96514684,1.105941743,4.970480502,1.960823387
10.59294176,0.978288293,2.557589114,3.620593995,0.823252372,4.655982181,1.699187309
9.281670421,1.026780486,2.96085164,3.686974943,1.00701268,4.918362945,2.455131263
8.867614597,1.107671261,3.884285688,3.429730609,0.935412556,4.019949585,1.880908012
9.67924118,1.043694973,3.09316121,2.756888606,0.780182086,3.868142888,1.316946149
10.38391614,0.941517234,2.760184184,2.139620297,1.083335042,3.61437723,2.197399139
8.816723406,0.660981536,2.344014421,3.773576021,1.153845459,2.66519282,1.738759279
9.967738032,0.829295158,2.510168776,3.664766997,1.335734427,3.697800264,1.868492216
10.55160141,0.443884462,2.452878356,3.653098643,1.090594888,2.887727134,2.365394384
8.400105327,0.612021744,1.947117448,3.522317111,1.230171472,3.463553637,2.334379256
8.027760744,0.663681865,2.244481668,3.60548608,0.800867274,5.141632259,1.555286497
7.970740527,0.599104285,1.969665885,3.443586081,0.911800534,5.200356245,2.248881459
7.91366142,0.553106666,2.205375507,3.054994717,0.894282714,5.683493614,1.153448373
7.140140802,0.281812668,2.090815008,3.327447176,0.906925172,5.209603906,0.911486
7.759838939,1.0023278,1.993609518,2.926961705,0.910515875,3.714385256,1.064240038
8.022816867,0.359924376,1.921511292,1.628590934,0.737768732,3.303574026,0.542658344
6.933852404,0.488912702,1.489252634,1.627144776,0.977732345,3.779092059,0.365382135
7.875458062,0.804672003,0.978951976,1.153894328,0.658269718,3.505768999,0.83029151
5.926213622,0.910300195,1.542919278,0.911827758,0.602117211,3.311569616,0.722924769
4.799285322,0.445779562,2.093940452,0.445841812,0.567718476,2.292724513,0.209154151
5.049047112,0.593477607,2.039092407,0.672065094,1.053272814,2.354200929,0.165907145
3.475091726,0.877441466,1.472895071,1.402101107,1.397337765,1.298205554,0.061369687
2.59918794,0.415602654,1.317225918,0.317316968,1.106867373,1.635253429,0.592671968
2.721201375,0.397094786,1.036972739,1.292174123,0.826134771,1.705938578,0.584400743
2.967701599,0.600500107,0.997355171,1.805847511,1.057744294,1.909817755,1.448835433
2.062906057,0.313053876,0.767396819,0.851612538,0.729988024,2.018513344,1.572400481
2.28201592,0.277637124,0.625607483,1.73893217,0.763818488,1.152695902,1.62456125
3.278368041,0.425447702,0.755182989,1.667888835,0.893041551,0.790394656,2.021023184
2.734269157,0.381242752,0.965866372,1.658103243,0.619211227,0.744211674,1.282644868
2.288218841,0.227220476,0.779392216,0.971654803,0.805202633,1.104102284,1.174705178
2.150474012,0.436140031,0.990659036,0.665558595,0.602048472,1.151914708,1.075810567
3.207107067,0.186498135,1.053082198,1.120846905,1.08544749,1.589698344,-0.124693811
3.664269641,0.145680517,0.728232153,0.032926537,0.942835644,1.802683622,1.105248332
3.536949366,0.2768538,0.541191213,0.22236798,0.666503176,1.53566096,1.860405505
1.927979991,0.201585442,0.790528804,0.617159344,0.578882888,1.860881597,0.959099978
2.862528831,0.170888245,1.083146855,0.787030905,0.141026467,1.682560146,0.59804447
2.901608169,0.081510544,1.118351519,0.686540827,0.470623255,1.195655763,1.455382556
2.032319531,0.169723213,0.988488123,0.887782592,0.901815221,0.522666425,0.628688037
2.077243924,0.131369054,1.103740409,0.95927082,0.678673744,1.060372777,0.520916469
1.335927308,0.131369054,1.347777843,0.295760296,0.759404063,0.929442234,0.363210887
1.399759725,0.131369054,1.158420034,0.414463039,0.80605045,1.169493701,0.020584501
1.596438959,0.131369054,0.935819875,0.327693112,0.777067602,0.87779779,0.541987307
1.671754524,0.131369054,0.527077261,0.13025552,0.664282352,1.220583636,0.602098331
1.706164613,0.131369054,0.484246127,0.074132532,0.52809114,0.932388753,0.068330914
1.43078877,0.131369054,0.511590354,0.007967092,0.398872901,0.994864013,0.083830655
1.914650887,0.131369054,0.870517362,-0.069013052,0.338916589,0.865511224,0.335318781
2.222554058,0.268516511,0.751714054,0.250365306,0.547589563,0.606207363,0.273623988
2.551163927,0.314389974,0.775134489,0.184718799,0.376693603,0.559881143,0.205956176
2.476655826,0.291234791,0.804455504,0.129869021,0.638940901,0.688940845,0.314982124
1.533299059,0.201187491,0.822869428,0.449642912,0.391680829,0.892672315,0.138504244
2.154558048,0.476746619,0.703208148,0.170088466,0.317030631,0.636426918,0.169464722
1.695956081,0.15241909,0.600044578,0.13933694,0.299750295,0.652709231,0.130725764
1.788952902,0.145680517,0.506293941,0.620763935,0.23465227,1.21715311,-0.062483549
1.55159384,0.2768538,0.48312664,0.767174549,0.296781424,0.956208538,0.235874243
2.622826934,0.342171907,0.401002653,1.579510607,0.116911601,0.941526517,0.204515532
3.239003882,0.519743443,1.081462204,1.314300951,0.300881803,0.605269149,0.352391377
4.243146673,0.5788517,1.049920321,0.912847742,0.272879921,0.21614749,0.214074329
3.815423131,0.734417498,1.249445491,1.457373146,0.33736378,0.13005808,0.647421628
4.148605138,0.857030094,0.989747979,1.137719676,0.311850481,0.294332579,0.652645528
4.539845288,1.076437593,0.664061923,0.528311823,0.196217123,0.628877059,0.760707557
4.930723608,1.001302481,1.160924546,0.678416993,0.246645749,0.18349383,0.995359719
4.030426025,1.083759546,1.32441245,0.952112582,0.593446963,-0.09114407,0.574542917
3.162869811,0.793886185,1.064312831,0.144970976,0.560324594,-0.132844038,0.701781064
3.673945054,1.396896482,0.814985186,-0.046028383,0.498230174,0.373112783,0.727636367
5.185690314,0.988954425,1.012244001,0.786512159,0.695694692,0.733226724,0.215264075
7.282497406,0.997391343,1.51644554,-0.011350401,0.485261597,1.213103812,0.658473372
7.573131263,0.957736373,1.425993294,1.197496429,0.897688895,1.446980052,0.489264652
9.61610496,1.449474931,1.411590278,2.112602256,0.82607156,1.197457872,0.886046812
13.24357355,1.591426492,1.400828585,2.13000793,0.458851613,1.264386624,0.969957411
15.6817528,1.127834558,1.908773035,1.575789973,0.709301896,0.886509661,1.330899298
21.24904692,1.798211455,1.903039813,3.183887154,0.379378859,1.207470149,1.153290793
22.42535567,2.135901213,1.430141106,2.641170099,0.752429239,0.955498498,1.184068546
30.7421478,2.15787077,1.820120998,3.693106771,0.831952035,1.279547904,0.919857994
29.60899591,2.09748745,2.389368564,4.150979966,0.568464749,1.157595217,0.723845065
35.16326642,2.181413651,3.273309097,4.089590907,0.750928245,0.976058096,0.7484366
35.91565084,2.13676548,4.090126455,4.229620099,0.757034391,1.868455485,1.367457509
34.06165659,2.321600437,3.738291711,4.954628646,0.825231515,1.563326828,1.490423977
37.32565987,2.228262424,4.937203825,4.558717459,0.882362276,2.703505382,1.904042363
40.04364753,2.789979458,3.195828348,6.520485878,0.954024047,3.828515857,1.849850416
40.07909441,2.754354954,4.207582176,5.893223733,0.698852569,4.186972231,1.788929999
35.82491362,2.5426898,3.218316436,6.532604247,0.858447239,5.13657555,1.582803428
35.46082544,3.343630314,4.229774773,7.114835829,0.998336747,6.059806794,2.373874933
41.30613184,2.845998764,4.642971307,9.297437221,1.046135843,6.268390268,2.601633072
36.93083143,3.975574493,4.483930171,8.830984682,0.878294259,5.34318015,3.032395542
33.91856897,2.523437977,3.985797465,11.48274243,1.285752058,5.518290401,3.768598139
33.48562324,3.722073555,3.681819588,11.25005484,1.249129057,6.306118518,3.285554647
31.70129061,3.554740429,3.193341717,9.936417639,1.14800024,6.431753933,4.332772195
29.27299118,3.613223076,3.844652474,9.368701279,1.440367788,5.714257061,4.80366379
30.26002264,3.022265434,3.95167619,10.65626964,1.431054115,5.556816608,4.374068081
33.02879333,2.713068008,3.56936194,10.28424874,1.627387881,5.249202251,3.668075502
33.67663324,2.685985565,4.110988677,11.13124564,1.068215996,4.636978731,3.610266745
33.58752227,2.436175346,5.140723586,9.578374028,1.488866061,4.66607362,3.627531826
32.28429103,2.716544151,5.351395011,10.14576554,1.406149298,4.771430418,3.886978328
35.46009612,2.705895424,5.028188825,8.296250552,1.427197844,4.7794424,3.339102566
31.18723834,1.866842628,4.684471786,8.181046695,1.040708899,4.785552621,2.771477997
30.56769025,2.348280907,3.903126419,6.578725576,1.239390433,4.903744906,3.106150925
26.69324863,2.074477196,4.169774652,5.992113054,2.423363,6.59257248,3.511928916
25.02194965,2.068935394,3.78474623,6.999117136,2.998882681,4.939496517,2.85081327
20.87855792,2.175465584,5.592669547,8.270464092,1.485440791,5.255881697,3.021554351
20.49588108,1.75524509,3.691055998,7.202402502,1.93712002,6.251151115,2.545956671
22.74569809,1.619653821,4.174193144,7.262440026,1.578605473,6.614991277,3.226276338
22.88745391,2.326541424,4.2381531,6.62496388,1.724536717,5.414098501,4.432471693
22.74448633,2.591956615,4.14841041,7.038947195,1.764382839,6.134115905,2.762344182
