N1,N2,N3,N4,N5,N6,N7
3.996000003,1.602629016,0.999000001,2.570832737,1.162573218,2.675925963,1.891908062
3.711878706,1.94127396,1.215257385,1.0605155,1.27544933,1.556490963,1.774402563
2.846705919,1.605623302,1.461286274,1.083404703,0.966962934,2.071268697,1.256926811
3.069969818,1.217823851,1.364469195,0.77533567,0.773863393,1.784861348,1.55393101
4.216320627,0.965789851,1.509002004,0.614133021,0.642691257,1.619424299,1.360119613
3.559726094,0.788438844,1.381757597,0.848283704,0.558089165,1.514945416,1.043408291
3.067583395,0.65828089,1.292354895,0.664165957,0.656599961,1.448574761,0.876123274
2.294932688,0.560184259,1.219515185,0.547791429,0.879882568,1.666827607,0.748540827
3.372747873,0.484974209,0.956573644,0.473776696,0.749781327,1.289343356,0.65253016
2.530740592,0.42827049,0.968663236,0.426638148,0.646994491,1.555790797,0.820857208
2.784540305,0.559754979,1.185614293,0.728942171,0.716327429,1.477528375,1.359775489
2.378580672,0.483777359,0.93388285,0.589927038,0.620746463,1.156564451,1.167416586
2.222107724,0.426970439,0.736362022,0.500975916,0.543316788,0.930186551,0.918365097
2.475688626,0.382060395,0.581400222,0.444056726,0.481138981,1.036243571,0.790568725
1.77462729,0.34667023,0.669591123,0.740084557,0.431147548,0.845287044,0.688036009
1.897521787,0.494850373,0.738977995,0.597078719,0.390920451,0.710494054,0.84431711
2.637449064,0.432946553,0.583526022,0.505559814,0.358531911,0.615346829,0.658928399
2.662532373,0.386999227,0.460819752,0.446990679,0.33244412,1.079825925,0.581949508
2.072870908,0.350542388,0.363977219,0.409508291,0.311425472,1.141902232,0.519912807
2.184497754,0.321611959,0.497649339,0.385520739,0.294509709,1.185725533,0.469909186
2.070366276,0.298652082,0.393049437,0.370169454,0.432421605,1.216662827,0.429599802
1.60426381,0.280435718,0.310449089,0.360345109,0.392872346,0.972679648,0.397113593
1.346609748,0.44224253,0.455371406,0.354057834,0.360168409,1.332085426,0.609794527
1.522756166,0.391253267,0.569833067,0.682487941,0.333801176,1.054163145,0.469978164
2.389524788,0.530207823,0.660235454,0.892673049,0.312544966,0.857961771,0.668549156
1.712755831,0.461078702,0.52148034,1.027185015,0.446957815,1.516923222,0.517354411
1.18964378,0.409366886,0.411886579,0.780814743,0.404600577,1.184650903,0.467873896
1.164621277,0.368318417,0.325325209,0.95559916,0.369630862,0.950080629,0.427974977
0.989219629,0.335734371,0.256955566,0.73500201,0.644538155,0.784483886,0.395802651
1.304373193,0.309869303,0.202954407,0.926280428,0.56473028,0.667579552,0.608736484
1.879044915,0.28933771,0.160302035,0.716238929,0.801847048,0.585050011,0.469125768
1.075260952,0.27303986,0.126613391,0.581818868,0.691568834,0.792611415,0.428985138
2.026663676,0.436369901,0.100004722,1.160701725,0.904117281,0.673317246,0.396617179
1.926556934,0.386591434,0.28914521,0.866261307,0.774029535,0.589100582,0.609393505
1.249139455,0.350239641,0.438536425,0.677828548,0.667501854,0.529647159,1.425162191
0.870016909,0.321383674,0.346374893,0.889691182,0.581608242,1.019323122,0.910155012
1.286912344,0.474745115,0.904053166,0.692822943,0.512351939,1.365013751,1.26237025
3.433283795,0.593320872,0.924217084,0.566833361,0.45651036,1.343233004,0.923758503
2.670206598,0.51117883,1.150300538,0.486203927,0.56303694,1.593680502,1.034463104
3.214667797,0.625404132,0.90855667,0.434603583,0.64974845,1.238838322,0.812418339
2.897152305,0.712913704,0.717617005,0.40158096,0.719664235,1.519982248,0.705805413
3.540063081,0.606111386,0.98711894,1.377808809,0.624485742,2.25010561,0.858712724
4.143751444,0.700761407,0.779668853,1.670110661,0.546924232,1.702246834,0.670698874
6.184004148,0.596464917,1.036130149,1.857174804,0.48438612,1.315481585,0.59152738
6.570234725,0.516836814,0.818380007,2.309343836,0.433961424,1.574089167,0.527686025
10.44737444,0.982429918,1.066705878,2.598718028,0.544855649,1.756655241,0.476206403
12.89898086,1.166262826,1.052687162,2.451454789,0.635088808,1.885539209,0.434694886
13.29151577,1.13908403,1.461928846,2.689664641,0.556292286,1.444878292,0.40122133
15.89381987,0.944404557,1.364851204,2.177204039,0.491939615,1.665437799,0.613105884
17.40566247,1.4980996,1.708489388,3.179060184,0.591603664,1.289495955,1.189279063
23.70120146,1.572438164,1.349438155,3.155309583,0.521230064,2.087391983,1.03125984
25.46185695,2.166574199,1.276001234,3.805017472,0.463668824,2.650673013,1.287588453
31.5957247,2.099909745,1.428154739,5.550625495,0.417256997,3.048325724,1.182970228
33.66623426,2.056478373,1.338174967,5.337945549,0.682938642,3.06322802,0.932169734
34.79077573,2.19826988,1.477262219,5.201836964,0.898796196,2.807924626,1.041245657
34.0691062,2.483928698,2.007433559,6.112092987,0.921291057,3.425162536,1.05676414
36.09665923,2.531254618,2.426185611,6.362174911,0.938609977,3.595082746,0.83040119
34.81133204,2.924518577,2.967091065,6.522219606,1.255677943,4.246686843,1.198059322
37.08009169,2.701564509,3.184164246,7.954458334,1.058312975,3.37757298,1.349653363
37.81557881,2.886605237,3.775932216,7.541231735,0.896720629,4.358957887,2.188523608
40.61702704,3.027165711,3.402707392,8.606594571,1.221083654,3.988479192,2.169898032
37.75433878,2.78620785,3.107918428,10.6182089,1.03041948,4.258584395,2.77750577
35.53413569,3.130062201,3.505552867,11.90557984,1.025781838,4.715091095,2.883710925
39.20098874,3.393526371,3.399307326,13.06191118,1.174413085,6.100660775,2.325158534
38.37820361,3.426396468,3.525547176,11.47475108,1.295073737,5.21804816,2.569823442
33.14431415,2.926849198,4.465885356,11.78883279,1.392362836,6.189903516,3.816622472
30.32210874,2.539796294,4.578133358,9.995112762,1.470807373,6.344344936,3.504310787
27.54829194,2.761356192,4.456634509,9.179641204,1.685609304,5.921726503,3.54222004
25.86509619,2.751476019,4.150512376,9.655125943,1.708071776,6.155023247,2.61728262
25.90029527,2.394260913,4.32903826,8.629606389,1.573812751,6.053897144,2.638943231
25.59000867,2.117028756,4.259888522,7.973305602,1.616292303,5.98250637,2.511535961
27.12660599,1.720695167,4.205271096,7.885747172,1.348258815,5.400459909,2.408798822
27.83637391,1.761783076,3.741817644,7.497258717,1.433608621,4.989559594,2.08707833
26.33902013,1.61180684,4.006233641,6.583730586,1.200960332,5.231128834,2.13896664
23.35684266,1.848452734,3.164295063,5.666647077,1.011737685,5.401666556,3.541630204
26.64375161,1.501175552,3.55008155,5.412195772,1.010718643,6.05370659,3.04368928
25.57562771,1.763796081,3.644635122,4.251993503,1.010715749,5.716548058,3.004349911
27.05218482,1.786509757,3.299003319,4.83931502,0.859161585,5.744352107,2.972627905
21.67066219,2.160236566,3.866637039,4.550275083,1.039247836,5.232333018,3.185924853
22.7973887,2.450575682,3.894664217,5.695113541,1.034537699,5.13669287,2.568854159
20.90657835,2.504779058,3.70664415,7.425136042,1.181472966,6.132470104,2.766331782
23.40446447,2.198433349,4.398766375,7.867389381,1.603869803,6.037975574,3.258450829
25.76089939,2.314115709,3.684491376,7.485510299,1.642983698,5.439618834,2.316023378
29.39281295,2.752154136,3.960954897,7.573573269,1.521332009,5.283027936,2.873770548
28.36038115,2.741009198,4.599631905,8.294838383,1.270873239,5.704128927,2.794896046
26.54972025,2.562219617,3.843143582,8.423971973,1.068108704,5.203937145,2.564854466
32.79757891,2.599726289,3.876108077,7.841705938,0.904618959,6.711589311,1.974040042
28.40655596,2.273802275,5.163087649,7.136619921,0.924348444,6.71263316,3.075759261
32.22940886,2.55021066,4.918656483,8.015201759,1.39573065,8.308312806,3.529529247
27.4927591,2.231334619,4.72559427,7.247651878,1.32360855,7.839852777,3.895434818
26.41845973,1.987698182,4.993419725,8.418712546,1.111448131,6.18002076,3.234983116
23.09142844,1.61803281,4.784645483,8.170793836,0.939563689,4.476601605,2.514410305
25.45025443,1.327755408,5.040060905,7.679679763,1.10407633,5.134825862,2.555990294
24.89500584,1.802402756,5.03164182,7.032928181,1.389912798,5.599504497,3.400151598
22.17682203,2.342795149,5.024992066,7.616388485,1.772754323,10.71237626,4.029985386
27.02379841,1.887259099,4.179111271,7.989785028,1.930707699,11.39778696,4.465426317
34.33204699,1.54146671,4.77194116,8.561201032,1.905695458,10.81836293,3.622169144
28.43358461,1.443244633,5.240183619,7.92952829,2.036261069,10.40931394,3.304377821
27.92373947,1.538381139,5.189707318,8.855092353,2.293907165,10.91801392,3.764750754
29.25483285,1.258203574,4.729524705,8.450063412,2.350915035,10.47966334,3.440917078
26.05093784,1.394658155,6.887938352,9.188218727,2.244510084,9.106911123,3.324661675
28.24023605,1.320383795,5.86070324,8.330800216,2.006344811,9.466924747,3.947546714
25.47075877,1.617121692,5.679820314,9.444347741,1.813492565,11.31602195,4.232510705
24.96535999,1.493812669,5.536951226,9.492076168,1.961098794,10.22899269,3.98454342
27.05564722,1.225987456,5.213949962,8.525259577,1.930199903,9.195771978,3.451711128
25.65687711,1.545352309,4.958829718,9.236341947,1.601363597,9.263832984,3.644679054
22.30615396,1.436842273,5.17763908,9.358958895,1.486136051,7.45111467,3.894285068
29.65915801,1.357031713,4.930149826,9.104976179,1.242494616,7.234706954,3.545369397
29.49888054,1.469945492,3.894043671,8.60998133,1.651434243,6.284460843,3.17001212
28.34703044,1.380146736,3.91631115,7.628292403,1.8328869,7.474393586,2.93977289
26.61115208,1.664561397,3.303427558,7.997403167,1.82682221,7.251140889,2.754115355
24.33183199,1.531470214,4.500602893,6.238900024,1.669561636,6.29606251,3.32103674
20.86362073,1.255879942,4.815711891,5.113512416,1.541943129,4.824345987,2.844243764
18.45210621,1.216546415,4.223969951,5.72311424,1.439043886,5.646142556,2.438207173
16.50718008,1.182161292,3.336272535,5.448333009,1.356075871,5.428824995,2.422105685
18.05062781,0.978599203,3.265602463,3.942666448,1.289178474,5.009584151,2.097808557
17.21441157,1.172708753,3.20978421,4.641355274,1.083687042,5.511089118,1.908742595
13.91082884,1.144200795,2.745382295,5.753402046,1.068731657,5.599306739,1.99516242
12.31263728,0.948466235,2.798892022,4.80280873,1.209043673,5.661584668,2.231288307
10.82374755,0.972522016,2.630999165,4.194458418,1.171444668,5.439726477,1.871502694
9.78198386,0.988455202,2.498390189,4.137586808,1.140309698,4.75145635,2.681763028
9.959163334,1.001102933,2.603807069,4.433644506,0.963653634,5.063037961,2.089877377
10.10525566,1.011142678,2.68706984,3.625750966,0.971948306,4.485530104,1.663470589
8.469578341,0.842844962,2.542677212,3.441177864,0.827903262,4.343657641,1.869819783
9.069769506,0.888680057,3.059101125,3.32305679,1.014044143,3.977677861,1.891339465
9.925537482,0.745634373,2.416209202,3.247462956,1.165767704,3.985135322,1.430939135
10.1673513,0.811514482,2.118582735,2.534177704,1.288102936,3.458752398,1.682313872
8.967027027,0.684380491,2.093661728,3.739966054,1.235190425,3.087148198,1.740140709
10.44306538,0.586624024,1.863820914,4.179179525,1.191708122,3.622282631,1.547893861
10.49242614,0.509025133,1.682282787,4.127808789,1.156648191,3.202593663,1.704185567
7.572267,0.447427284,1.538896192,3.430025569,0.976827417,3.437958484,2.235530457
8.897644356,0.751065523,2.056114714,3.315919666,0.982570373,4.93323509,1.802486581
8.058059632,0.633233979,1.624007539,3.575349187,0.836467871,5.457189893,1.431727863
7.101464866,0.546024023,1.492867904,3.076468516,0.869397986,4.763784787,1.205196764
8.160154566,0.476796931,1.389288198,3.08965409,0.745216585,4.540093741,1.022529346
7.744965199,0.598111846,1.51763364,2.76563868,0.644269929,3.318882118,1.114108753
7.84533482,0.514981896,1.408849238,2.225825074,0.562876292,3.520053242,0.876642048
7.478663291,0.628422997,1.11276952,1.880361066,0.800351982,2.864600226,0.757593355
7.311502737,0.715310074,0.878913068,1.659274789,0.841915147,2.933525548,0.661596305
5.518643847,0.60801362,1.534831751,1.517786412,0.723057077,3.248007714,0.584187361
4.534440735,0.526004152,1.422433043,1.094784459,0.777954472,2.672547528,0.521767269
4.839561107,0.637172442,1.333655726,1.156530064,1.126140854,2.266296845,0.710310265
2.796246485,0.54598812,1.263535595,1.86095288,1.256970433,2.245324742,0.551031891
2.336309118,0.476768432,0.997994576,1.314400381,1.058536351,2.230519319,0.733908318
3.397568018,0.421821978,0.788258897,1.629531229,1.048452568,2.220067314,0.570060604
2.338140213,0.378205591,0.622600667,1.831205223,0.889588913,1.946864849,1.943635245
1.784652246,0.343582988,0.701913829,1.62781657,0.760677836,2.01981919,1.422237946
2.992680488,0.492366879,0.554401631,1.830107894,0.656736389,1.539674309,1.125107552
2.717271652,0.431041748,0.437890173,1.627114314,0.572928041,1.200712222,1.435701087
2.095386283,0.385524226,0.34586443,1.829658471,0.656904912,1.227243037,1.302403508
2.159839949,0.349392507,0.483335686,1.294372928,0.573882686,1.777620253,1.028476902
1.616443453,0.320711218,0.591916377,0.951806741,0.506122815,1.368692048,0.880028115
3.363092162,0.297944068,0.677678062,1.065028749,0.906143287,1.611653516,0.760323771
2.971438257,0.279871548,0.535259183,0.805033562,0.928033805,2.04899788,0.902674581
2.792544008,0.265525617,0.422770647,0.638644686,0.792494849,2.091920814,1.422777979
2.221859559,0.254137846,0.544079513,0.864614722,0.682390556,1.856398811,1.219545881
2.211675832,0.245098255,0.639894456,1.341682323,0.745164915,1.690130185,0.961663168
2.032131386,0.237922645,0.715573205,1.314537059,0.645047031,1.306927741,1.065028218
1.527558925,0.23222666,0.775347525,1.29716493,0.715054702,1.036402936,0.837065077
1.662530683,0.227705199,0.822559845,0.953593536,0.772320893,1.377071381,0.725679754
0.839543055,0.224116071,0.859850159,0.733718473,0.666942989,1.085921395,0.6358622
0.878042195,0.221267029,0.679146515,0.593005235,0.732709489,1.412029331,0.563436204
1.566484414,0.219005465,0.53641903,0.502953117,0.635004178,1.110600237,0.505034202
1.163249396,0.21721024,0.423686744,0.445322547,0.555405285,1.695275343,0.457940699
1.169713552,0.215785193,0.334645953,0.408440765,0.491224422,1.310560006,0.419966008
1.109826271,0.214653994,0.264317718,0.384837565,0.591027002,1.038967162,0.389344435
1.061969777,0.213756051,0.629083731,0.369732248,0.520765099,1.113057829,0.603528736
1.834089185,0.38931051,0.496877298,0.692519081,0.463293921,1.165362723,0.464926688
1.829422838,0.349235804,0.392454989,0.566638899,0.568506542,0.936463988,0.425599286
1.606720475,0.320586828,0.520134907,0.486079477,0.502606775,1.0406949,0.393886929
1.077811946,0.297845327,0.410824846,0.434523939,0.448652802,1.114277539,0.368315101
1.514318816,0.279793168,0.324487074,0.40152999,0.405149527,1.166223787,0.347694799
0.778828776,0.265463399,0.466450934,0.380414883,0.370072686,0.937071863,0.331067248
1.305102621,0.254088457,0.368422943,0.699355637,0.341790108,1.572771612,0.317659324
1.036908572,0.24505905,0.290996233,0.903467852,0.318985768,1.224077525,0.306847604
