N1_Ori,N1_Fit,N2_Ori,N2_Fit,N3_Ori,N3_Fit,N4_Ori,N4_Fit,N5_Ori,N5_Fit,N6_Ori,N6_Fit,N7_Ori,N7_Fit,N8_Ori,N8_Fit,N9_Ori,N9_Fit,N10_Ori,N10_Fit,N11_Ori,N11_Fit,N12_Ori,N12_Fit,N13_Ori,N13_Fit,N14_Ori,N14_Fit,N15_Ori,N15_Fit,N16_Ori,N16_Fit,N17_Ori,N17_Fit,N18_Ori,N18_Fit,N19_Ori,N19_Fit,N20_Ori,N20_Fit,N21_Ori,N21_Fit,N22_Ori,N22_Fit,N23_Ori,N23_Fit,N24_Ori,N24_Fit,N25_Ori,N25_Fit,N26_Ori,N26_Fit,N27_Ori,N27_Fit,N28_Ori,N28_Fit,N29_Ori,N29_Fit,N30_Ori,N30_Fit,N31_Ori,N31_Fit,N32_Ori,N32_Fit,N33_Ori,N33_Fit,N34_Ori,N34_Fit,N35_Ori,N35_Fit,N36_Ori,N36_Fit,N37_Ori,N37_Fit,N38_Ori,N38_Fit,N39_Ori,N39_Fit,N40_Ori,N40_Fit,N41_Ori,N41_Fit,N42_Ori,N42_Fit,N43_Ori,N43_Fit,N44_Ori,N44_Fit,N45_Ori,N45_Fit,N46_Ori,N46_Fit,N47_Ori,N47_Fit,N48_Ori,N48_Fit,N49_Ori,N49_Fit,N50_Ori,N50_Fit,N51_Ori,N51_Fit,N52_Ori,N52_Fit,N53_Ori,N53_Fit,N54_Ori,N54_Fit,N55_Ori,N55_Fit,N56_Ori,N56_Fit
6,46.52489766,11,35.16311468,20,37.64802771,20,42.01210898,14,98.84964492,10,65.80464219,7,35.52952388,11,41.97988554,9,35.39611354,13,52.23386109,13,37.56128172,9,43.70688817,14,52.7677883,12,21.5328985,14,112.9300326,12,62.2041497,5,50.23656377,5,65.69623813,3,19.83832109,7,17.78058823,11,21.06641231,10,59.62947856,9,38.77352511,5,0,10,42.21378106,2,62.52490104,1,11.11994796,7,24.1758637,7,37.61937586,6,8.742458675,5,22.15768171,2,4.791024756,4,34.12230122,5,42.17067425,9,16.3373879,9,18.37595516,9,13.7140112,4,13.14275174,5,24.08219355,2,8.487955258,1,28.11268025,1,10.4314693,3,1.747326176,4,19.38848923,1,1.435165677,7,15.40266664,1,26.64432029,0,0,4,25.71373781,2,61.29663012,2,7.020877636,0,52.78039647,0,17.33688797,1,0.150172459,5,23.31824318,0,0.453843101
37,46.3659449,52,55.5410711,63,92.83805039,69,57.90814,95,100.9774849,63,56.82526615,50,51.49777531,65,55.75620934,43,46.31553135,33,52.23386109,48,54.77581865,39,47.01385633,64,49.44939062,35,33.11938055,69,112.9300326,63,61.43899852,49,46.15275263,31,65.69623813,26,12.32529833,32,29.68619041,56,21.06641231,50,53.21059647,64,38.77352511,14,13.02531712,54,57.34352796,29,20.30711148,26,24.42091858,36,45.28289064,68,78.96560934,69,61.61846593,63,57.34396767,2,5.144920825,46,63.22197028,30,35.28854678,39,46.04357859,51,30.75056484,48,52.87636281,23,17.85220709,17,18.68924425,3,7.668401151,27,24.53694566,8,14.55153259,7,7.531900241,18,20.52607764,5,6.10757666,28,27.01361964,20,53.76004165,11,12.25688331,26,12.02263666,5,56.22185517,7,5.966745663,21,20.31721576,6,19.50529874,8,9.314831222,20,25.32638765,6,11.08065664
77,67.57839752,115,113.1069512,112,113.7297482,130,147.8851382,146,102.8699385,101,112.2611783,69,50.56099533,76,36.68129947,86,48.49941492,67,51.80131268,79,57.99896759,79,104.6679746,85,86.03624998,66,56.01830189,94,116.580455,81,69.73095167,102,60.89882435,65,65.69623813,46,33.99074543,42,27.20901176,57,19.65297578,70,67.38144135,78,38.77352511,25,16.10302866,125,96.21148372,58,36.90070722,29,26.16245751,40,46.5464594,89,65.86008658,93,106.2896728,94,69.75643744,10,10.1768899,94,105.1082705,71,64.25534063,63,50.477643,88,98.68019839,74,69.31113603,33,26.56006471,38,27.50576037,5,9.741692223,39,60.1499153,32,31.049648,14,22.55074805,39,33.22643617,10,5.280983666,48,53.78305318,45,44.74549798,15,18.03414733,48,25.48018091,18,20.2598772,12,15.93982051,52,0,25,25.51200678,28,26.74415111,49,31.45557147,16,12.39297941
66,43.60594075,140,128.428214,135,100.1290892,162,158.5172654,174,127.5538899,103,86.12384166,71,48.47615552,86,40.92016833,73,31.02834641,91,59.35567545,107,57.59350446,90,63.25535829,118,95.29427908,71,57.99265124,95,130.4400592,88,68.72782665,105,77.55403754,92,65.69623813,66,36.05354774,64,34.98481644,95,30.95253017,82,53.09992145,99,38.77352511,23,10.035749,136,122.0852619,57,29.86100792,36,26.46918457,61,49.13499506,119,107.0912708,116,104.2157901,122,90.08358185,8,6.319927844,139,84.59315375,111,103.6112596,84,48.0042717,103,119.7282789,102,83.7588971,30,27.78739404,44,31.62241142,8,8.019642173,75,66.22434222,57,28.22958289,27,32.29824737,37,21.26447806,8,11.27122674,45,47.42925747,50,40.27283582,22,21.13756174,70,33.51978292,24,20.2598772,13,13.77897492,57,28.98122554,27,32.04214175,28,31.04448647,49,31.45557147,22,24.44847865
73,64.22881034,125,99.63075351,109,99.40149447,136,109.4967449,129,105.5169903,98,77.3843504,76,44.8588896,85,37.74101668,74,47.40747313,117,114.0882602,101,57.28303555,78,99.82566142,107,66.27089692,62,55.6555504,105,144.7941155,88,66.76161575,113,85.18245816,116,65.69623813,64,62.32798865,68,34.68351384,88,21.30499223,74,68.45754212,90,31.60310273,24,23.19576686,126,108.0854977,68,37.67393875,49,43.44356003,59,48.96118268,105,74.63521376,116,105.8050854,108,134.1631419,7,6.751771816,105,95.45341346,90,76.95664936,85,39.35840255,105,111.4154999,94,88.15241095,45,35.91813189,38,39.83045583,6,1.248590406,60,40.50563936,40,24.72759706,33,35.00236183,49,32.61070759,16,14.17828494,54,43.00015256,40,56.44348334,13,8.214277257,60,46.41380418,35,20.2598772,15,12.72544933,53,39.47676914,21,23.42671133,19,24.58845387,51,27.23907208,22,15.16868193
60,52.37442655,131,78.94293144,94,96.14515214,131,91.63939629,145,105.7778732,94,94.25765407,71,48.37366856,79,43.03960276,81,50.68329848,98,87.56870968,75,58.74376567,58,42.10229655,93,46.26740804,52,44.24603893,85,144.7941155,68,58.8091894,101,62.19877862,86,65.69623813,56,41.99250825,53,47.58704611,85,67.49194309,71,43.76204248,70,31.60310273,19,9.95939825,130,108.7396491,44,31.55491772,27,26.87758083,55,36.90838391,87,87.05286445,80,89.10211341,90,77.31330044,13,10.98662205,96,62.92450777,74,56.7687069,63,42.33030476,83,85.89279158,71,85.22578385,33,32.34598632,34,39.48508336,2,3.247196499,50,38.33432927,27,22.93648318,30,26.89398019,40,60.13232183,8,4.0824168,44,45.81753724,47,60.59870459,17,22.71363641,44,20.71220678,33,18.27097342,25,27.65894611,45,25.67070088,17,20.08590884,12,16.67514517,37,27.23907208,14,11.66789223
61,60.31697121,118,53.6484221,108,86.23310701,114,55.67138094,117,82.41724277,82,78.57683342,62,54.34200527,60,36.68129947,73,51.77524026,80,50.40630041,63,47.69476375,51,46.17953851,82,94.19838409,58,32.26655014,76,165.9114261,59,32.89443744,83,74.6162267,74,65.69623813,36,28.18565147,40,45.00315807,84,42.87678738,81,79.11170379,66,29.68778059,18,20.83370143,88,74.91001884,29,21.05288078,18,20.25586294,42,45.39397538,89,98.12347032,95,80.62683953,87,98.9990536,8,8.15334605,85,74.76249231,62,48.11360789,52,50.99082172,82,70.33048675,77,79.85376291,36,38.70019733,35,30.0296796,5,4.316707634,37,31.57734566,22,25.45522877,28,29.15301885,31,24.33854678,9,12.56097842,42,35.33221892,41,69.04585318,12,14.5062296,38,26.86356148,25,16.50034441,19,10.78126383,42,29.918604,20,14.44355851,18,15.64645624,30,26.2347321,15,15.66511194
75,60.82236089,110,82.63991962,101,108.5217676,105,80.99713729,116,95.24945341,84,69.70119664,70,52.20473893,67,38.8007339,78,50.68329848,80,67.26422233,67,72.18348046,56,25.95662261,87,74.24630804,49,36.31217083,65,179.4176822,60,42.3758529,70,60.02555097,63,65.69623813,47,46.4746943,41,49.83768973,70,59.87286684,60,68.24241554,68,29.68778059,17,8.079174302,80,94.41011138,42,13.10217585,21,16.64930515,37,11.37233688,87,97.49933339,80,84.88279403,76,70.52256936,8,11.90518845,69,61.13468748,60,52.98074366,55,59.21547485,77,81.87067578,68,74.36252441,31,26.26000967,24,36.32683624,6,4.267656797,40,45.47144616,19,28.9065711,18,23.71806978,28,18.99673678,8,7.865193554,38,47.34225021,27,75.22025867,14,17.9988192,31,59.54188079,17,16.50034441,14,13.06536834,36,17.29446418,22,10.9131284,15,16.22630942,25,26.03505713,12,3.571306381
63,53.93342817,101,106.9019333,92,94.01031273,95,83.97573107,107,113.9080626,73,63.97763367,42,52.90682037,58,53.63677491,76,46.31553135,64,80.30797531,64,48.2661087,44,37.8513105,78,80.61407878,46,58.98467993,64,165.558078,54,51.76382975,77,65.21396881,68,65.69623813,42,33.41332418,46,19.63404711,68,57.68359233,58,36.86617385,59,29.68778059,15,11.28961336,83,89.98996688,38,58.06851856,23,14.78388609,34,0,72,78.92882193,67,68.96068714,67,72.6785307,7,8.563500278,62,39.46190094,56,56.89125616,47,84.46702007,66,75.99239661,57,72.15838171,21,20.43448354,25,28.68074914,0,1.57224532,28,22.54004701,17,8.594953054,20,22.48693027,27,35.0658491,9,13.61004921,29,30.43714841,31,38.37894472,13,14.10541803,25,17.82970315,12,5.842104998,15,12.84655909,33,31.99746571,20,6.772747532,21,17.8107108,35,25.03071715,13,9.158613961
56,51.56525573,103,91.07788341,89,80.82172889,100,105.2430548,118,58.40675524,78,78.8733483,49,62.44377446,62,36.68129947,46,43.03970601,75,65.8343172,64,46.10063249,57,36.17960627,83,83.24867849,41,48.8301636,59,165.558078,59,50.73092141,56,53.44462071,55,65.69623813,32,35.0102787,32,29.27573628,51,40.73304606,53,44.09434253,54,50.35295358,10,14.92073006,77,62.78913847,30,34.7843547,24,15.96599003,26,20.24023439,67,55.05445466,69,63.06203282,68,61.1650833,3,4.264038805,55,41.90547451,41,23.63736842,40,84.10249259,50,33.639736,54,64.67395961,21,19.95961111,29,24.15749662,1,0,19,39.76631678,13,12.41831945,24,15.87417978,24,0,6,4.713699214,27,37.43035664,32,30.35254464,11,12.63781901,31,8.069637136,20,7.831008779,13,9.395724536,29,45.48886002,12,7.595853856,13,15.92983011,34,24.02637717,9,7.947025637
