N1_Ori,N1_Fit,N2_Ori,N2_Fit,N3_Ori,N3_Fit,N4_Ori,N4_Fit,N5_Ori,N5_Fit,N6_Ori,N6_Fit,N7_Ori,N7_Fit,N8_Ori,N8_Fit,N9_Ori,N9_Fit,N10_Ori,N10_Fit,N11_Ori,N11_Fit,N12_Ori,N12_Fit,N13_Ori,N13_Fit,N14_Ori,N14_Fit,N15_Ori,N15_Fit,N16_Ori,N16_Fit,N17_Ori,N17_Fit,N18_Ori,N18_Fit,N19_Ori,N19_Fit,N20_Ori,N20_Fit,N21_Ori,N21_Fit,N22_Ori,N22_Fit,N23_Ori,N23_Fit,N24_Ori,N24_Fit,N25_Ori,N25_Fit,N26_Ori,N26_Fit,N27_Ori,N27_Fit,N28_Ori,N28_Fit,N29_Ori,N29_Fit,N30_Ori,N30_Fit,N31_Ori,N31_Fit,N32_Ori,N32_Fit,N33_Ori,N33_Fit,N34_Ori,N34_Fit,N35_Ori,N35_Fit,N36_Ori,N36_Fit,N37_Ori,N37_Fit,N38_Ori,N38_Fit,N39_Ori,N39_Fit,N40_Ori,N40_Fit,N41_Ori,N41_Fit,N42_Ori,N42_Fit,N43_Ori,N43_Fit,N44_Ori,N44_Fit,N45_Ori,N45_Fit,N46_Ori,N46_Fit,N47_Ori,N47_Fit,N48_Ori,N48_Fit,N49_Ori,N49_Fit,N50_Ori,N50_Fit,N51_Ori,N51_Fit,N52_Ori,N52_Fit,N53_Ori,N53_Fit,N54_Ori,N54_Fit,N55_Ori,N55_Fit,N56_Ori,N56_Fit
6,5.994000003,11,10.99508065,20,19.99105573,20,19.99105573,14,13.98600001,10,9.990000005,7,6.993000004,11,10.98900001,9,8.991000005,13,12.99418622,13,12.98700001,9,8.995975078,14,13.98600001,12,11.98800001,14,13.98600001,12,11.98800001,5,4.995000003,5,4.995000003,3,2.997000002,7,6.993000004,11,10.98900001,10,9.990000006,9,8.991000005,5,4.995000003,10,9.990000005,2,1.998000001,1,0.999000001,7,6.996869506,7,6.993000004,6,5.994000003,5,4.995000003,2,1.998000001,4,3.996000002,5,4.995000003,9,8.991000005,9,8.991000005,9,8.991000005,4,3.996000002,5,4.995000003,2,1.998000001,1,0.999000001,1,0.999000001,3,2.997000002,4,3.996000002,1,0.999000001,7,6.993000004,1,0.999000001,0,0,4,3.996000002,2,1.998000001,2,1.998000001,0,0,0,0,1,0.999000001,5,4.995000003,0,0
37,7.864803632,52,51.92307959,63,62.93068222,69,68.91726585,95,14,63,10,50,8.155318242,65,13.49108387,43,9.692855449,33,32.97272008,48,13.83967584,39,38.94499293,64,17.29935312,35,13.79671596,69,15.43604969,63,14.3444423,49,5.995267344,31,5.668015012,26,4.676124364,32,7,56,12.68705518,50,12.24804282,64,11.85491838,14,5.555540536,54,11.24551371,29,5.242781612,26,3.611778344,36,35.94454576,68,7,69,6,63,6.242190652,2,1.999999097,46,4.770738211,30,5.554879032,39,9.635659371,51,9.836020364,48,9,23,5.751482955,17,5.375380478,3,2.126619186,27,1,8,1.247159229,7,3.129659217,18,4.768947978,5,1.274020669,28,7.717924231,20,2.775973683,11,0.59885075,26,4.68501882,5,2.209065731,7,2.309423927,21,0.94632067,6,0.743611038,8,1.975355251,20,5.72428143,6,0.630418881
77,27.42800977,115,100.1471167,112,108.015323,130,121.8476381,146,95,101,63,69,40.40775756,76,49.65314857,86,36.35230909,67,57.5773965,79,42.52847245,79,71.80056581,85,53.29914789,66,33.57590936,94,56.51385838,81,48.56092285,102,39.96986423,65,25.14417988,46,23.20052387,42,32,57,43.7938856,70,45.12597545,78,46.51025776,25,11.1909142,125,43.60508692,58,23.4552697,29,16.34292123,40,55.34531224,89,68,93,69,94,51.35618542,10,2.201112883,94,38.17601742,71,24.92471417,63,32.85706522,88,42.66171481,74,48,33,16.08109272,38,14.16331451,5,2.961374988,39,27,32,6.287812027,14,6.03983653,39,14.19905138,10,4.755673526,48,22.80300803,45,15.34693501,15,7.660838603,48,20.55283096,18,4.746427716,12,5.429029073,52,14.76702445,25,4.523709409,28,4.435778419,49,15.78003735,16,3.899891697
66,59.12646396,140,161.1626783,135,152.1452471,162,179.9426033,174,146,103,101,71,62.24568217,86,67.75227101,73,75.82930279,91,92.73223623,107,78.27149342,90,109.949676,118,78.06198733,71,60.54425338,95,88.32448108,88,70.86152873,105,88.5924951,92,57.34238907,66,40.42209774,64,42,95,56.72875301,82,64.34324495,99,73.54806561,23,19.95346313,136,108.2263903,57,42.08602525,36,22.93382463,61,59.63263433,119,89,116,93,122,85.03944104,8,6.16361634,139,83.16443643,111,61.13950406,84,58.08565218,103,80.65436781,102,74,30,25.34487111,44,31.90748444,8,4.404710207,75,39,57,25.00420603,27,11.92906764,37,35.93101879,8,8.599385707,45,41.25368793,50,33.29039849,22,12.49661651,70,42.55283096,24,13.97962701,13,9.597508699,57,42.79894086,27,16.08510801,28,17.81650977,49,38.34210892,22,10.18003152
73,63.5054621,125,174.759328,109,161.7828661,136,197.5644797,129,174,98,103,76,68.92889146,85,80.25936624,74,73.58006912,117,117.4547764,101,103.5908472,78,112.3585356,107,113.2557828,62,70.37927598,105,94.77297924,88,82.61849264,113,101.4498755,116,85.91895602,64,58.33392743,68,64,88,84.69261451,74,78.81384534,90,92.32209842,24,21.87842215,126,133.4012717,68,49.18772417,49,29.57152309,59,74.95100932,105,119,116,116,108,114.2253434,7,7.076282074,105,128.1535673,90,100.3166672,85,79.69994566,105,100.022041,94,102,45,27.8718002,38,40.90255716,6,6.09505732,60,75,40,48.26598194,33,23.06707254,49,40.69975384,16,8.412310517,54,43.99472934,40,50.51516268,13,18.73094256,60,64.55283096,35,20.88234446,15,11.7457619,53,55.5159582,21,23.20328465,19,28,51,45.5642138,22,16.14930741
60,69.54935043,131,161.4988883,94,134.4599977,131,162.9973447,145,129,94,98,71,74.32694929,79,83.50796135,81,73.91390256,98,139.1960863,75,104.0365753,58,91.84687598,93,118.728027,52,68.72138597,85,102.7297924,68,86.30938829,101,110.5007404,86,110.5946276,56,61.36376313,53,68,85,89.89872891,71,78.18531154,70,92.86195782,19,23.21790842,130,128.3624802,44,63.03113235,27,39.35491842,55,73.65642665,87,105,80,116,90,109.3095498,13,7.040993733,96,109.4978378,74,92.21058633,63,84.79523551,83,104.6029388,71,94,33,37.09334168,34,38.74355983,2,4.931456543,50,60,27,42.25675127,30,30.40747017,40,45.72056366,8,15.70369782,44,51.31445186,47,46.84078427,17,14.97237585,44,62.47598593,33,32.37360241,25,13.79903962,45,54.18723344,17,23.6080878,12,23.5825706,37,49.24665925,14,19.08525984
61,63.47079516,118,158.746162,108,124.793423,114,156.5660219,117,145,82,94,62,71.78717153,60,80.41883707,73,79.54714458,80,118.1575433,63,76.54393392,51,66.50244714,82,112.2786391,58,62.95389621,76,89.54041513,59,73.751885,83,103.0558097,74,92.75671553,36,59.12310829,40,53,84,85.81374096,81,79.38476392,66,76.35990627,18,20.55489922,88,129.0550079,29,57.0633137,18,33.13595633,42,67.06295395,89,87,95,80,87,94.06192726,8,9.984994358,85,98.62210773,62,77.90205339,52,67.50481884,82,87.3676732,77,71,36,34.89063906,35,35.21519118,5,3.005707108,37,50,22,31.16543251,28,30.10635207,31,44.06159669,9,8.629621248,42,45.96331417,41,43.12000627,12,16.30211641,38,47.96157748,25,35.17298955,19,20.86502111,42,47.37446688,20,22.46884445,18,15.56422158,30,40.95025171,15,16.53443682
75,61.89805125,110,131.8671952,101,127.1746604,105,124.624199,116,117,84,82,70,64.31569088,67,66.42669502,78,74.34235453,80,95.46126053,67,63.61760373,56,57.76816866,87,97.13616347,49,63.6789193,65,78.04318681,60,63.63431958,70,87.33976004,63,76.70268621,47,47.57204806,41,40,70,84.27124699,60,86.4188765,68,67.27198125,17,18.94186357,80,97.92241703,42,50.56673404,21,25.52057968,37,53.25268847,87,89,80,95,76,88.4855363,8,9.004533587,69,87.64624868,60,65.40739541,55,54.25240942,77,82.1985306,68,77,31,35.48751205,24,35.05512704,6,4.857188975,40,37,19,24.50236985,18,28.54977087,28,31.85755782,8,9.375646005,38,43.063817,27,40.23201314,14,13.48073856,31,39.48559156,17,31.18247765,14,19.68850565,36,42.89042508,22,22.96192425,15,14.94495293,25,33.53210809,12,15.76490944
63,70.23789201,101,126.5361647,92,109.6255279,95,120.9430145,107,116,73,84,42,68.65506567,58,66.81955591,76,77.25007659,64,90.07497366,64,66.05024323,44,61.69545949,78,87.03545994,46,51.64787401,64,67.49722832,54,61.14172561,77,73.75204987,68,65.47746236,42,55.04261763,46,41,68,73.79745781,58,67.46982026,59,67.36400937,15,17.71587008,83,81.8899842,38,51.19628793,23,23.24630516,34,44.47908018,72,87,67,80,67,78.62643848,7,8.50840102,62,72.62224496,56,61.15866385,47,54.38570652,66,77.992653,57,68,21,33.07297795,25,26.83207149,0,5.361270962,28,40,17,20.50227123,20,20.75355551,27,27.37041293,9,7.692614945,29,39.35920969,31,35.13544906,13,13.82127604,25,32.73319015,12,22.53992324,15,16.10002435,33,37.78085016,20,22.61585798,21,16.52752353,35,27.75211465,13,13.87711334
56,65.63072543,103,111.2340672,89,104.8219485,100,102.5244982,118,107,78,73,49,48.30671417,62,60.77589853,46,76.25630196,75,73.55088816,64,65.03200756,57,48.58995962,83,71.19715438,41,42.96932227,59,64.22702076,59,56.24358131,56,76.29719495,55,66.87388075,32,49.20475703,32,46,51,68.54249397,53,60.1686613,54,61.86195782,10,16.00120888,77,82.29125593,30,40.26509613,24,23.12239376,26,38.8259082,67,72,69,67,68,69.44571996,3,7.763434118,55,64.06349137,41,57.10536716,40,48.63811594,50,68.1838366,54,57,21,26.57712387,29,25.46933494,1,2.191542512,19,28,13,17.95619914,24,20.19668265,24,26.79013764,6,8.404553292,27,31.78057803,32,28.88411399,11,13.28267401,31,26.48559156,20,13.09430347,13,15.40609587,29,33.89042508,12,19.54990654,13,17.94495293,34,32.66212383,9,13.4373146
