N1_Ori,N1_Fit,N2_Ori,N2_Fit,N3_Ori,N3_Fit,N4_Ori,N4_Fit,N5_Ori,N5_Fit,N6_Ori,N6_Fit,N7_Ori,N7_Fit,N8_Ori,N8_Fit,N9_Ori,N9_Fit,N10_Ori,N10_Fit,N11_Ori,N11_Fit,N12_Ori,N12_Fit,N13_Ori,N13_Fit,N14_Ori,N14_Fit,N15_Ori,N15_Fit,N16_Ori,N16_Fit,N17_Ori,N17_Fit,N18_Ori,N18_Fit,N19_Ori,N19_Fit,N20_Ori,N20_Fit,N21_Ori,N21_Fit,N22_Ori,N22_Fit,N23_Ori,N23_Fit,N24_Ori,N24_Fit,N25_Ori,N25_Fit,N26_Ori,N26_Fit,N27_Ori,N27_Fit,N28_Ori,N28_Fit,N29_Ori,N29_Fit,N30_Ori,N30_Fit,N31_Ori,N31_Fit,N32_Ori,N32_Fit,N33_Ori,N33_Fit,N34_Ori,N34_Fit,N35_Ori,N35_Fit,N36_Ori,N36_Fit,N37_Ori,N37_Fit,N38_Ori,N38_Fit,N39_Ori,N39_Fit,N40_Ori,N40_Fit,N41_Ori,N41_Fit,N42_Ori,N42_Fit,N43_Ori,N43_Fit,N44_Ori,N44_Fit,N45_Ori,N45_Fit,N46_Ori,N46_Fit,N47_Ori,N47_Fit,N48_Ori,N48_Fit,N49_Ori,N49_Fit,N50_Ori,N50_Fit,N51_Ori,N51_Fit,N52_Ori,N52_Fit,N53_Ori,N53_Fit,N54_Ori,N54_Fit,N55_Ori,N55_Fit,N56_Ori,N56_Fit
37,10.49206585,52,18.16329572,63,26.80801712,69,26.23548578,95,27.70352465,63,15.75485857,50,10.19895712,65,15.13082259,43,13.91831688,33,20.91237242,48,16.71487896,39,12.88056634,64,20.54078114,35,13.23824438,69,17.71382646,63,15.84495036,49,9.650305361,31,9.883056611,26,4.429505087,32,10.52488713,56,14.32525539,50,12.34858405,64,12.8788888,14,5.804482281,54,16.7007304,29,6.496483702,26,2.587148856,36,8.952035027,68,18.44375473,69,11.56962585,63,11.57110326,2,3.90380004,46,10.28821391,30,8.579159811,39,12.46306087,51,17.14066211,48,16.5495366,23,5.293921111,17,6.703487691,3,2.940523446,27,1.793380193,8,4.888516925,7,4.203097142,18,6.382672459,5,1.902399912,28,9.130781084,20,3.409442611,11,0.188578404,26,7.783640575,5,4.655036917,7,3.218949147,21,2.376280345,6,2.092164028,8,3.321629403,20,7.566560317,6,-0.339847565
77,40.04243743,115,56.25867913,112,64.72119515,130,69.35139708,146,101.4109948,101,68.18309817,69,53.54867463,76,71.19481015,86,46.76951788,67,39.49454001,79,49.19821896,79,40.73504394,85,69.73640537,66,36.7364246,94,72.65110666,81,69.91749227,102,53.91329154,65,34.4346078,46,26.4902481,42,35.33365288,57,56.68232465,70,52.16942662,78,66.23584229,25,15.63399357,125,57.292211,58,33.14003955,29,28.10749139,40,35.39639194,89,69.76404715,93,68.0356428,94,67.92862147,10,3.90380004,94,51.13473082,71,32.81918406,63,41.9911592,88,53.07058305,74,52.34063159,33,25.7071231,38,18.42406842,5,4.037757397,39,28.17914239,32,11.16181281,14,8.033951774,39,18.75342801,10,6.301163495,48,30.2718367,45,20.68480593,15,12.55370438,48,28.45896775,18,7.784649428,12,8.033548474,52,22.27514809,25,7.768921778,28,10.6501072,49,22.61829129,16,6.875079259
66,81.97911477,140,117.8308251,135,111.3204968,162,127.1517066,174,151.281848,103,107.2171522,71,73.57222658,86,82.94772053,73,90.32179067,91,72.54961669,107,79.22818443,90,80.04645708,118,91.26500082,71,69.13186502,95,98.94327188,88,89.10650623,105,109.2010678,92,68.15312195,66,47.02972102,64,45.45046926,95,57.69797707,82,72.85274762,99,81.21533769,23,27.91631806,136,130.1166436,57,62.80665916,36,31.19975813,61,39.18301192,119,90.58278751,116,91.71652734,122,100.7604073,8,12.91089773,139,101.1797028,111,74.84468293,84,66.02482042,103,88.29177886,102,77.59721786,30,36.37424913,44,40.20208472,8,6.154961586,75,40.82007611,57,34.59765649,27,14.93695396,37,39.76440871,8,11.79465675,45,51.70476019,50,46.63015401,22,17.00322941,70,50.63141146,24,21.55565274,13,12.92815614,57,53.40046072,27,26.35527867,28,32.01418328,49,53.10463166,22,18.48764996
73,70.39053249,125,142.9222794,109,134.1548803,136,158.7869036,129,179.2640016,98,109.2643936,76,75.67664754,85,93.59173214,74,77.04788935,117,96.68918487,101,107.050983,78,91.13909617,107,125.3817407,62,74.33261967,105,99.99840927,88,96.49355197,113,112.3136127,116,95.58565879,64,68.20917818,68,67.86193246,88,97.56889963,74,85.30739412,90,103.9476103,24,25.69581735,126,141.6272424,68,61.78200006,49,38.36089858,59,59.48676017,105,121.7071342,116,114.9152639,108,130.440757,7,10.71241242,105,147.7264247,90,115.8895441,85,87.09013563,105,103.1797141,94,105.3498261,45,33.20997739,38,46.51353365,6,9.023059845,60,78.0952884,40,59.08535039,33,28.11100441,49,37.67682517,16,9.601480007,54,48.47726798,40,52.02281687,13,24.56457257,60,73.33082557,35,27.93457517,15,13.91284791,53,58.52246159,21,28.33338007,19,32.01418328,51,53.10463166,22,25.10952252
60,77.77937412,131,127.8366757,94,108.3813572,131,133.0280319,145,134.4616109,94,104.1424573,71,80.92437607,79,92.53050578,81,78.06758121,98,123.2773523,75,101.0483166,58,79.04244813,93,114.0120085,52,64.95745039,85,110.5388577,68,96.49355197,101,120.5798483,86,120.0054679,56,66.08089525,53,71.93826938,85,90.10568643,71,77.00611627,70,94.20200723,19,26.80781376,130,131.1641832,44,73.01668555,27,51.28992561,55,57.5265817,87,107.0601058,80,114.9152639,90,115.6655367,13,9.593521535,96,112.7287004,74,94.51475859,63,88.09033316,83,105.1819539,71,97.39625967,33,48.55588007,34,40.20208472,2,7.157898188,50,62.86403358,27,42.58883655,30,34.20258808,40,50.33742404,8,18.29727972,44,58.12693703,47,41.27056018,17,14.78685066,44,63.00904727,33,39.47698614,25,15.88528901,45,54.42377931,17,22.40146734,12,22.46788418,37,55.21221709,14,25.10952252
61,64.04173422,118,133.8609343,108,93.84071243,114,128.1291258,117,150.2882071,82,100.0367662,62,75.67664754,60,86.14735293,73,85.2133055,80,103.8147218,63,75.30022494,51,59.16344883,82,99.52691853,58,54.49155542,76,89.44961542,59,75.26754582,83,108.1622081,74,89.47028327,36,57.57978398,40,56.64429688,84,86.91526794,81,73.89102551,66,72.62063968,18,21.22524279,88,135.3526752,29,48.44379346,18,29.1392424,42,53.62119552,89,88.55400848,95,78.79474449,87,96.49485603,8,16.08002663,85,103.2832019,62,77.9587791,52,66.02482042,82,83.39096856,77,74.64747673,36,36.37424913,35,35.99451134,5,2.940523446,37,52.42612195,22,29.59293127,28,31.16233367,31,40.81260419,9,9.601480007,42,47.40026098,41,48.78471643,12,19.19827193,38,46.53216389,25,37.40122417,19,25.72587997,42,46.25846615,20,18.45950501,18,14.93099004,30,40.41311812,15,16.21723492
75,65.09971786,110,120.827679,101,107.4038481,105,111.6285796,116,122.6951135,84,87.69501871,70,66.19266492,67,65.85467297,78,77.04788935,80,85.56183267,67,63.60477298,56,52.31452453,87,88.17295134,49,60.77444077,65,79.98049098,60,65.63176689,70,89.38037738,63,77.26411128,47,36.6404863,41,43.42136669,70,85.85329437,60,84.2706722,68,68.35704046,17,20.10510148,80,91.53208688,42,33.14003955,21,19.84323952,37,41.0870893,87,90.58278751,80,93.72009218,76,93.2971473,8,10.71241242,69,91.70647025,60,65.50682271,55,54.98686415,77,82.4151673,68,80.55363366,31,39.4970125,24,37.04555756,6,6.154961586,40,38.7068074,19,24.61853448,18,29.12893224,28,31.50074357,8,10.69910574,38,45.24563348,27,42.33857131,14,13.67207944,31,40.42863835,17,28.99423978,14,19.83323938,36,43.21205375,22,21.41445443,15,21.39263438,25,33.03041586,12,17.35610542
63,79.88190579,101,112.8461619,92,100.5931629,95,102.9998661,107,121.7191574,73,89.75317061,42,74.62476563,58,73.33232188,76,82.14948124,64,85.56183267,64,67.48770881,44,57.20010191,78,93.32847667,46,51.34965384,64,68.48269707,54,66.70351073,77,75.77725977,68,66.13580334,42,48.07882088,46,44.43561184,68,71.1026063,58,62.48337716,59,70.48551145,15,18.98525648,83,83.32091585,38,46.39380436,23,22.94153559,34,36.34028342,72,88.55400848,67,78.79474449,67,81.60583928,7,10.71241242,62,74.90591979,56,63.43507507,47,57.99487293,66,77.55962411,57,71.70522961,21,34.26891959,25,25.56520125,0,7.157898188,28,41.87692273,17,21.66315201,20,18.96150935,27,28.47252798,9,9.601480007,29,40.93962443,31,27.67884733,13,15.89742765,25,33.40080401,12,20.49091321,15,14.89867277,33,37.15328002,20,23.38921921,21,18.16105902,35,27.79776832,13,13.91856247
56,67.2162174,103,103.9083624,89,91.92259949,100,93.50792804,118,112.9702851,78,78.43799877,49,45.17869052,62,63.72121447,46,80.10797593,75,69.57186088,64,64.57397743,57,45.53338639,83,84.05718768,41,48.20952037,59,67.44325462,59,60.27185997,56,83.10129344,55,71.18453366,32,42.85024698,32,49.51531675,51,69.01856327,53,60.41473319,54,60.96867132,10,16.74904847,77,86.39125337,30,42.30024472,24,25.00858216,26,33.51429996,67,73.63770723,69,66.10029668,68,72.11465865,3,9.593521535,55,67.60659552,41,59.29807076,40,49.97980063,50,67.03031558,54,60.99383135,21,23.54380223,29,26.59849033,1,0.721106306,19,29.22708297,13,19.71003696,24,20.98760712,24,27.47344291,6,10.69910574,27,31.32818884,32,31.79057768,11,14.78685066,31,27.47959439,20,15.17309719,13,15.88528901,29,34.14393079,12,21.41445443,13,24.61266318,34,38.29922494,9,15.07129709
51,59.81427073,72,105.8904901,50,89.05505082,70,98.24088392,102,123.6718228,73,83.57920086,52,52.49865015,50,67.98984075,43,49.75825521,59,80.53752622,40,64.57397743,36,58.18114159,61,89.20317304,31,42.98418406,55,62.26391822,51,65.63176689,66,61.17303669,54,58.10006273,27,32.5475103,26,35.33365288,46,51.64266074,46,55.2551432,55,55.76016921,16,11.20918294,81,80.26227039,30,34.15335907,24,26.04197013,30,26.06580888,61,68.80335331,60,68.0356428,61,73.16461831,7,5.04521811,65,60.35797143,54,43.90961048,41,42.9879055,54,52.15832514,54,58.09708151,25,23.54380223,26,30.75642836,1,1.831209898,21,19.85946077,16,15.85599115,7,25.05546409,15,24.51006109,6,7.402000964,29,29.21859998,24,32.82965103,5,12.55370438,26,33.40080401,14,23.68460955,8,13.91284791,30,30.15563315,17,13.56513463,13,16.00668192,27,37.24338034,9,10.42232442
