"","N1_Ori","N1_Fit","N2_Ori","N2_Fit","N3_Ori","N3_Fit","N4_Ori","N4_Fit","N5_Ori","N5_Fit","N6_Ori","N6_Fit"
"1",7103,7022.32468764347,7120,7142.70074293633,6839,6885.13567165095,6854,6928.63206062386,6981,7002.47907109979,6931,6947.89092730161
"2",7048,7003.65667803171,7081,7113.6146849626,6828,6910.15481290315,6905,6899.33573621015,6974,7030.02498485397,6892,7025.92209738432
"3",6933,7037.96970866748,7023,7090.57289784496,6917,6980.26224485371,7000,6973.23494004733,7020,7083.17002191406,6962,7001.19597693479
"4",6943,7000.65724328601,7007,7096.29380637094,7073,7042.95379579965,7000,7041.21667575861,7032,7072.26817967194,7007,6982.22673807443
"5",6942,6946.24520044064,6990,7082.75340899645,7082,7000.70159295837,6997,7008.62716476445,7120,7113.81038641497,7020,6985.94487636941
"6",6972,6983.98123172019,7000,7037.06685513288,7025,6995.02887639709,7015,6973.81328197898,7131,7131.29662520803,7065,7090.40956523245
"7",6974,7011.43485587737,7048,7053.19142561483,6986,6944.69490225676,7052,7060.34534538244,7137,7180.11038560104,7139,7176.3745127213
"8",6946,7035.10327871485,7058,7052.13730426973,7071,6950.71977201445,7027,7076.63931976487,7126,7125.08871201859,7084,7184.63658129774
"9",7020,7064.69393953425,7060,7086.36328224615,7069,7111.18768338774,7015,6995.63270171675,7009,7051.90116763904,7026,7083.66888359886
"10",7070,7110.90229463439,7098,7067.51852209158,7078,6975.99223891471,6982,6983.18764855199,7042,7084.1360124177,6998,7045.99840422099
"11",7117,7058.0064340061,7123,7040.70929737307,6967,6924.66678123984,6982,6994.37718939943,6984,6959.3359928026,7004,7088.93868373937
"12",7100,7091.94247556929,7138,7068.7241948198,6839,6863.03828066647,6951,6968.11848389694,6943,6932.23223578176,6947,7024.20175381001
"13",7078,7107.8343020689,7116,7078.77748954735,6802,6832.78805927327,6960,6923.12931059465,6945,6965.74725008436,6934,6974.53819857534
"14",7032,7079.89901557573,7080,7064.86705699216,6765,6786.9464302399,6988,6989.69512450734,6970,7022.55705837043,6965,6978.09019787499
"15",7024,7075.50723948073,7102,7073.06650583037,6788,6952.61961211035,7049,7030.66220825241,6991,7068.25786363735,7011,6997.47305864826
"16",7096,7004.03384278434,7133,7063.64988259101,6786,6890.27040646685,7009,7026.14239807393,6994,7027.6107873481,7084,7149.42343508849
"17",7047,6985.78249835946,7067,7074.01824708927,6858,6800.32861395694,6979,7017.63834150726,7012,7068.50591426017,7068,7095.41696056001
"18",7046,7033.32263349297,7049,7097.07859139125,6810,6855.70532907931,6997,7021.26494755841,7088,7047.16881624364,7090,7115.48227030009
"19",7034,7020.04330186548,7071,7048.09797610746,6798,6877.89586200155,6957,6993.58077159099,7114,7096.75449787178,7102,7193.6887891923
"20",7083,7038.04533363095,7103,7060.32161080552,6814,6847.92580240507,6972,6940.83288073851,7154,7113.88586083004,7114,7154.22292337076
"21",7059,7095.59925591021,7083,7045.93728871821,6846,6744.5654825027,7006,6957.21903989779,7130,7166.625727194,7059,7034.61620754551
"22",7094,7048.47173253151,7114,7129.1277435717,6873,6749.89611214104,7021,6989.88877671292,7061,7049.61973200353,7014,7118.64984523608
"23",7097,7078.08824805421,7082,7080.99744682999,6828,6872.09985638343,6933,6914.09489533896,7031,7025.82258093237,7017,7028.70902892032
"24",7118,7149.09289296154,7123,7039.44904720724,6807,6842.24932174785,6957,6954.14919117658,7022,7004.4169586855,6940,6927.41700584595
"25",7057,7064.98648942079,7080,7098.08118527001,6800,6914.56388514751,7006,6933.10483981133,6909,6887.04046327827,6971,7011.73392364046
"26",7072,7004.1600986847,7089,7081.52034688819,6682,6784.73058609779,7009,7013.32821092646,7076,7073.84314678424,6992,7041.65998482532
"27",7082,7000.02955006629,7056,7087.09115089125,6876,6931.04334070784,7012,7021.49125210777,7142,7112.77804348228,7044,7062.58838899246
"28",7008,6934.85557746522,7038,7058.6547596286,6998,7001.74579271731,7079,7042.76503816367,7070,7053.85439124948,7029,6998.23539228117
"29",6991,6941.25619557236,7005,7043.39070921409,7087,6995.87617958852,7049,7108.10226277615,7068,7102.07665842747,7056,7199.49315381076
"30",6952,6958.03581892097,6953,7029.12744116958,7002,6942.98696810388,7043,7000.99071643024,7116,7087.63109613634,7093,7142.75624418662
"31",6987,6958.13433964762,7011,7110.48691784892,6989,7073.96994242156,7073,7063.58885642953,7167,7189.93841588945,7175,7142.25565606849
"32",7009,6998.42596110629,6967,7038.71836016757,7033,7079.62166526239,7049,7047.56540040807,7164,7126.35407847976,7175,7063.73101860743
"33",6985,6940.80848859441,7007,7033.95984320784,7100,7114.88570930574,7003,7017.49344165037,7096,7058.41768632304,7123,7115.27985764313
"34",7044,7066.16488843136,7051,7100.27492621738,7038,7048.63620488549,7027,7019.8327188625,7096,7105.46456849646,7151,7087.76881958094
"35",7022,7038.17704935393,6995,7055.93427011212,6957,6860.63669361515,6975,6989.83375673845,7062,7029.10772766148,7096,7082.02217089896
"36",7015,7037.02441837127,6967,7111.09776661709,6914,6873.77132417587,6939,6955.92932555029,7053,7056.75502113918,7007,7099.61794934485
"37",7061,7103.06375308789,7040,7034.65071471934,6859,6864.54774443522,6985,7031.98946853057,7090,7091.17519658846,7065,7101.18999756453
"38",7019,7060.33382133225,7095,7060.90640877411,6839,6831.40005770852,6982,6966.72233916852,7072,7045.96832256889,7075,7137.18148430947
"39",7049,7025.29950726237,7116,7067.25296776699,6917,6905.10735539908,7018,7039.8444137369,7120,7124.92331905906,7075,7103.19155321913
"40",7066,7041.73263012953,7081,7069.22522498578,6858,6812.58293070638,6994,7048.81975811083,7098,7091.76872021905,7078,7101.46314333343
"41",7042,7087.83435172416,7053,7073.04785115287,6937,6901.48708678862,6918,6993.12452940667,7122,7105.01669253778,7071,7112.09610255936
"42",7059,7095.0235146032,7062,7050.6988610246,6934,6972.45993848698,6924,6885.89401031645,7151,7035.11925408275,7020,7029.56499462483
"43",7175,7108.9168479064,7130,7084.85635432534,6891,6822.36776899299,6890,6920.75879003901,7173,7112.86059406043,7041,7062.86154979194
"44",7246,7122.83479798241,7167,7126.74769025612,6882,6907.3667519552,6878,6862.03562390285,7069,7011.63302857494,6953,7003.36725624815
"45",7306,7176.0783742846,7204,7139.87552226816,6880,6913.29363144663,6826,6873.28355392819,6909,6918.62503960802,6953,6923.86309945102
"46",7280,7181.94934057315,7184,7137.41233578218,6824,6809.11283501874,6811,6845.43693986408,6966,6916.00907028287,6861,6856.63687524452
"47",7298,7187.7390776237,7119,7140.31876322314,6736,6796.8055057982,6765,6790.49078609671,6855,6879.85385702924,6773,6880.95397569649
"48",7169,7157.29107701702,6965,7100.83387231943,6683,6813.11732564498,6692,6769.91777430966,6855,6886.57660482637,6727,6821.1721411626
"49",7018,7158.65149737841,7005,7061.78855329267,6675,6700.08031290146,6723,6819.64761881766,6761,6873.26129707407,6754,6809.63032205319
"50",6998,7015.64657803655,6983,7012.28072310443,6809,6844.17113646774,6841,6859.2417324736,6784,6856.63408802006,6742,6789.70553830479
"51",6942,6925.39222706133,6958,7047.86373851714,6944,6965.85541672537,6887,6932.06369955246,6892,6921.13834110828,6852,6901.24010267093
"52",6976,6942.3368355818,7005,6937.6919954501,6968,6934.4044963699,6951,6939.82344270886,6960,7009.44773763587,6879,6869.48362132619
"53",6911,6940.69193766486,7058,6993.08787369678,7060,6942.07675486653,6976,6984.46077106319,6923,6938.17324785321,6895,6851.64134843745
"54",6891,6917.15114404829,6901,6994.12300716858,7124,7128.81993013003,7036,7036.87624913425,7021,7055.38219444115,6956,6974.30042792736
"55",6890,6919.84096416635,6899,6909.56326558721,7081,7083.61125632822,7082,7037.781337995,7062,7082.84359069044,7026,7004.19136351438
"56",6837,6915.90895158244,6952,7065.03027744645,7060,7066.03260042933,7070,7072.75352936856,7045,7002.34313594173,6989,7095.96021532297
"57",6865,6893.82722904654,6925,7015.55862965877,7072,6990.52080906824,7085,7066.27422120591,7075,7022.77945368543,7029,7086.82684465717
